,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2196895_10x_vs_GM_DMSO,dPSI_GM_BIO_2196895_3x_vs_GM_DMSO
AC006059.1,0.7794,0.4787,NA,NA
AC009022.1,0.775185753878901,0.28899811653141,0.761457810413575,0.271769378861254
AC093157.1,NA,0.349,NA,NA
ACVRL1,NA,NA,0.3,NA
ANP32A,NA,NA,0.5019,NA
ARL15,NA,NA,0.566,NA
ASAP1,NA,NA,0.367,NA
ASCC3,NA,NA,0.399148666405082,NA
AXIN1,NA,NA,0.26947836993958,NA
C12orf4,0.38622379738291,NA,NA,NA
CAND2,0.5425,NA,NA,NA
CCDC136,0.321,NA,NA,NA
CECR7,0.565000779241771,0.534367051673156,0.496499355487899,NA
CEMIP,0.4156,NA,NA,NA
CHEK1,NA,NA,0.4152,NA
CMAHP,0.295637183768856,NA,NA,NA
CORO6,NA,NA,NA,0.307
DENND1A,0.26303378165052,NA,NA,NA
DENND5A,0.77,NA,NA,NA
DRG2,0.304,NA,NA,NA
FAM162A,0.316042385012033,NA,NA,NA
FAM174A,0.302543099531048,NA,NA,NA
FBN2,0.748154577611698,0.689503472893666,0.738031101090191,0.649214718655142
FOXM1,0.457,NA,0.307409524362563,NA
GALC,0.462,NA,NA,NA
GCFC2,0.365807565930257,NA,NA,NA
GGCT,0.3812,NA,0.3798,NA
GNG12,NA,NA,0.452942364526399,NA
GSDMB,0.408310001574108,NA,NA,NA
HIKESHI,0.369,NA,NA,NA
HLA.DMA,NA,NA,NA,0.324
KDM6A,NA,NA,0.399208074550612,NA
L3MBTL2.AS1,0.375,NA,NA,NA
LARP7,0.77,0.711,0.625,NA
LARS1,NA,NA,0.441,NA
LRRC42,NA,NA,0.404,NA
LYRM1,NA,NA,0.322,NA
MFN2,0.3864,NA,NA,NA
MFSD13A,NA,0.4168621474492,NA,NA
NGF,0.557932602094686,0.316605428815716,0.467030260790302,NA
NPIPA1,NA,NA,NA,0.36
PDE7A,0.391775711056322,NA,0.670027007646535,NA
PDXDC1,0.417331733850713,NA,0.399435878996957,NA
PDXDC2P,0.7405,NA,0.7741,NA
PMS1,0.30167652602251,NA,NA,NA
POMT2,0.766,0.388,0.666,0.252286178422171
PPIEL,NA,0.419,NA,NA
PRUNE2,0.494,NA,0.335,NA
RAPGEF1,0.314,NA,0.257749598902559,NA
RPAIN,NA,NA,0.36,NA
SAR1A,0.7061,NA,NA,NA
SENP6,0.74,NA,0.5385,NA
SERGEF,0.253778290139916,NA,0.252153834124462,NA
SLC25A17,0.399,NA,0.428,NA
SLC7A6,0.313667986220715,NA,0.288589998623448,NA
SMN2,0.45,0.382,0.448,0.365
SNAP23,0.328,NA,NA,NA
SOS2,0.277630626748413,NA,NA,NA
STRN3,0.625,0.337,0.571,0.338
TAF2,NA,NA,0.319,NA
TEX26.AS1,0.4807,NA,0.55,NA
TIAM1,NA,NA,0.357651956146769,NA
TPTEP2,0.792531134808141,0.5217,NA,NA
TRIM65,NA,NA,0.317,NA
VPS29,0.301,NA,0.394,NA
WDR91,0.304616495223268,NA,NA,NA
ZNF37BP,NA,NA,0.344155586175184,NA
ZNF467,0.31,NA,NA,NA
