,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_2199562_10x_vs_GM_DMSO,dPSI_GM_BIO_2199562_3x_vs_GM_DMSO
ABCB8,NA,NA,0.965,0.906
AC004784.1,NA,NA,0.5204,NA
AC006059.1,0.7794,0.4787,0.6583,NA
AC008581.2,NA,NA,0.308831947220539,NA
AC009022.1,0.775185753878901,0.28899811653141,0.983151153250742,0.880779215674991
AC020915.3,NA,NA,0.449641144184412,NA
AC068547.1,NA,NA,0.7663,0.4788
AC093157.1,NA,0.349,0.322,NA
AC114490.2,NA,NA,0.7589,NA
ADAL,NA,NA,0.4633,NA
ADGRL1,NA,NA,0.622115392817913,0.380349635389534
AGPS,NA,NA,0.572745888132861,NA
AKAP9,NA,NA,0.34258188485361,NA
ANKS3,NA,NA,0.4276,NA
ANP32A,NA,NA,0.6679,0.5083
ANXA11,NA,NA,0.539,NA
APLP2,NA,NA,0.277377703070438,NA
APPL2,NA,NA,0.7718,NA
ARHGAP1,NA,NA,0.414138155983342,NA
ARHGAP5,NA,NA,0.387798309568909,NA
ARL15,NA,NA,0.977,0.851
ARMCX6,NA,NA,0.373,NA
ASAP1,NA,NA,0.988,0.945
ASAP2,NA,NA,0.5,NA
ASCC3,NA,NA,0.662935011688144,0.334595699058187
ATG2B,NA,NA,0.377628650439316,NA
ATP5MC2,NA,NA,0.327615851428333,NA
ATP6AP1L,NA,NA,0.375063342548895,NA
AXIN1,NA,NA,0.747,0.508
BDNF.AS,NA,NA,0.351,NA
BECN1,NA,NA,0.7063,NA
BTBD10,NA,NA,0.394165812208608,NA
C12orf4,0.38622379738291,NA,0.949206496293676,0.386720867173455
C14orf132,NA,NA,0.66,0.328
CACNA2D1,NA,NA,0.448894761474092,NA
CACNB1,NA,NA,0.57898396779934,NA
CACNB4,NA,NA,0.61,NA
CAND2,0.5425,NA,0.4685,NA
CCDC136,0.321,NA,NA,NA
CDC37L1,NA,NA,0.648674606594596,NA
CDH18,NA,NA,0.4634,NA
CECR7,0.565000779241771,0.534367051673156,0.692711770815681,0.327091778720411
CEMIP,0.4156,NA,0.5571,0.4355
CEP112,NA,NA,0.318853623086763,NA
CEP162,NA,NA,0.561246140096796,NA
CEP170,NA,NA,0.517,NA
CHD9,NA,NA,0.384,0.252187442430854
CHEK1,NA,NA,0.31,NA
CLK4,NA,NA,0.366,NA
CMAHP,0.295637183768856,NA,0.893897408835076,NA
CNOT1,NA,NA,0.281569432328001,NA
CNTN3,NA,NA,0.479237409290158,NA
CNTRL,NA,NA,0.337916453894881,NA
COPS7B,NA,NA,0.624,NA
CRYBG3,NA,NA,0.408903469496415,NA
