Genes,iPSC.BIO1755497.00040nM,iPSC.BIO2006152.00045nM,iPSC.BIO2059811.00261nM,iPSC.BIO2135644.00300nM
POMT2,0.835056821306243,0.644461774295082,0.971774203707204,0.892924540150715
C12orf4,0.842031423276098,0.664335025780151,0.947675327938415,0.786528238759966
ASAP1,0.799619547254123,0.649701217946484,0.83090407291406,0.941442592104366
ARL15,0.804041236481389,0.720538851426466,0.715699612379533,0.910206210139569
SENP6,0.523680237551155,0.63176950483716,0.906905404886619,0.886494607524584
GRAMD2B,0.496417210705854,0.608701939651363,0.881413727679901,0.81035873850726
LARP7,0.669930777674221,0.458528160363472,0.836,0.774
HDX,0.705,0.511238624060266,0.738,0.768
KDM6A,0.693089720883874,0.509071443743345,0.674631040967846,0.763461480825854
AC009022.1,0.533236710134229,0.359876037588846,0.92044587900498,0.775375810005324
STRN3,0.619173812709655,0.51423621421343,0.72105738045055,0.718230840779901
MADD,0.594996885887414,0.381165377626643,0.79593955044357,0.778367697523896
NAV2,0.591277712023316,0.449493635407018,0.755235341137136,0.699360365708113
PDE7A,0.558884398547709,0.408833306757732,0.780567374872988,0.713988368592313
PDXDC2P,0.462983604059885,0.250768456982781,0.84268070831087,0.773977848220383
FOXM1,0.403638179275746,0.387036213855253,0.774529984651764,0.698826316087762
ANKRD18CP,0.21285796693439,0.239139434063834,0.955636821892028,0.851341805994506
TPTEP2,0.438213143384741,0.367845157434784,0.824893636464285,0.594552398277375
TENT2,0.378898530960022,0.252702228226508,0.887565490810156,0.634923769972873
DENND5A,0.193328637875197,0.101735335411427,0.922,0.867
COL4A5,0,0.276555058386521,0.918575719396221,0.872706331233676
ZFP82,0.531644363488357,0.304759169810112,0.544692921058892,0.658639831311815
CENPI,0.173196558965778,0.19894042344863,0.898473134617881,0.763848695393971
LYRM1,0.61,0.288433186160002,0.40524387219366,0.691
FBN2,0.238224188087867,0.351499149830927,0.658227746665648,0.73718931404064
HTT,0.691090213578282,0.25949328497636,0.377241174006376,0.624755087514339
SAR1A,0,0.520978717546436,0.789587849305572,0.610171193042599
CLASP2,0.515283366394571,0.366883859749142,0.50785500620242,0.509204260065972
VPS29,0.477508172675215,0.366832778243315,0.512263262812905,0.537883914750253
LRRC42,0.513,0.329,0.455,0.569
MATK,0,0.446943218831285,0.785864363642048,0.611646759370211
RAB2B,0.16574177192509,0.314109544441294,0.636297126152963,0.700241485107285
HSD17B4,0.48385479071194,0.222688239152171,0.636588199985475,0.425064881497528
MFN2,0.18678907757845,0.168825468998545,0.807280999747763,0.548468035034492
SLC25A17,0.198,0.17995804986698,0.86,0.462575007707159
TIAM1,0.478125165453001,0.219330088602441,0.553934282170968,0.444902290855609
FAM162A,0.177062516138206,0.144129231098768,0.767717373837866,0.568072582781222
APLP2,0.317366176382211,0.225970722363576,0.607826699972093,0.496142806645741
ABCB8,0.581116396675763,0.264361802548391,0.253,0.537515311899352
ADAMTS19,0.565965149469185,0.335753324415401,0.239240325169793,0.485380727958489
RAP1A,0.287,0.222,0.521,0.582
GALC,0,0.239248862246289,0.906426389302167,0.464
EXOC6B,0.398861387021879,0.339720002642673,0.349496367278643,0.519238355313105
LINC02210,0.482567129051608,0.25144056146028,0.26774192348058,0.596247595613327
AXIN1,0.392858980159915,0.181889742460201,0.528621135750067,0.473391723146995
PHB2,0.520229823704676,0.524815363364066,0.517014154428711,0
ERGIC3,0.330803404108896,0.344984784343102,0.299765603388257,0.584331912916077
TAF2,0.405709325064688,0.268831731144065,0.424262394423928,0.457736948056176
RAF1,0.316711691757421,0.270736278111926,0.519693895642203,0.420216212548235
SKP1,0.604253527583458,0.503387649313856,0,0.378348978937379
FAAP20,0.444163048441139,0.249295704450666,0.376200603897951,0.4129480421577
KCNT2,0.185176794139799,0.428690777938709,0.427448787131451,0.427819438416376
SPIDR,0.336955073115174,0,0.578773320158136,0.533077689732121
ZNF618,0.303960496138007,0.274798869325599,0.419004623089662,0.416333338865151
GGCT,0.302923402103006,0.253480566673578,0.396,0.445
PDXDC1,0.238138565008397,0,0.628253659385688,0.514827461331123
KIF3A,0.278221805196498,0.254019509106955,0.453267804874529,0.37807485702037
TARBP1,0.119,0,0.76622596413629,0.470273879599632
MYCBP2,0.402119650096603,0.307,0.271,0.346
STX18-AS1,0,0,0.818534787249161,0.505985467467785
CHD9,0.290968832218507,0,0.474414132363303,0.554893350501225
NUP58,0.423378938693517,0.29075527647987,0.146353554865904,0.419771122715183
TNRC6A,0.319169712511664,0.182927609042671,0.497173839782417,0.251590400848836
WDR27,0.361915204202288,0.2910379619945,0.16829626468491,0.410443335559537
STXBP6,0,0,0.647130362167542,0.584226421862116
ZNF66,0,0.196404534552759,0.516834710116041,0.516082815108427
ASCC3,0.111019342074746,0,0.663451355597002,0.43938645577706
CCDC15,0.340376565439561,0.311268595916001,0.294,0.264
EVC,0.311642894528314,0,0.589437260184728,0.306420116608153
BECN1,0.359271605840708,0.217275220007178,0.232991972881456,0.397416406727179
DLGAP4,0.408937618622176,0.22320544992535,0.232072658608978,0.341509110289518
RCC1,0.356651338733529,0.269028536962042,0.227341309725446,0.351831288493996
STRN,0.400494091938569,0.250716911848053,0.334858210582684,0.217580424501071
FGF12,0,0,0.750489129382244,0.431436426165806
ANXA11,0.3358304557284,0.159713130160294,0.275073938862419,0.404309868521882
