chr,strand,geneSymbol,GeneID,Event,Algorithm,FDR,PValue,dPSI,M,PSI_1,PSI_2,Event_info,Annotation_leafcutter,Cutoff_dPSI,Event_type,Junc_coords,PdPSI
chr4,-,MANBA,ENSG00000109323.11,A3SS,rmats,0.00607841176889,1.8958577974e-05,-0.487,73.3333333333333,0.513333333333333,1,longExonStart_0base:102664684|longExonEnd:102669049|shortES:102664684|shortEE:102664852|flankingES:102671280|flankingEE:102671398|IJC_SAMPLE_1:85;63;72|SJC_SAMPLE_1:2;1;2|IJC_SAMPLE_2:86;56;77|SJC_SAMPLE_2:0;0;0|IncFormLen:4296|SkipFormLen:99|PSI_1_persub:0.495;0.592;0.453|PSI_2_persub:1.0;1.0;1.0,,NA,,,NA
chr8,-,PDE7A,ENSG00000205268.11,SE,rmats,0,0,-0.455,116.666666666667,0.00966666666666667,0.464666666666667,exonStart_0base:65780843|exonEnd:65780947|upstreamES:65779719|upstreamEE:65779803|downstreamES:65782782|downstreamEE:65782843|IJC_SAMPLE_1:4;1;2|SJC_SAMPLE_1:130;124;96|IJC_SAMPLE_2:111;123;106|SJC_SAMPLE_2:39;78;85|IncFormLen:203|SkipFormLen:99|PSI_1_persub:0.015;0.004;0.01|PSI_2_persub:0.581;0.435;0.378,,NA,,,NA
chr14,-,POMT2,ENSG00000009830.11,SE,rmats,0,0,-0.446,166.333333333333,0.00766666666666667,0.454,exonStart_0base:77287232|exonEnd:77287271|upstreamES:77286747|upstreamEE:77286822|downstreamES:77288761|downstreamEE:77288831|IJC_SAMPLE_1:1;2;2|SJC_SAMPLE_1:199;144;156|IJC_SAMPLE_2:99;117;109|SJC_SAMPLE_2:87;85;110|IncFormLen:138|SkipFormLen:99|PSI_1_persub:0.004;0.01;0.009|PSI_2_persub:0.449;0.497;0.416,,NA,,,NA
chr4,+,WDR17,ENSG00000150627.15,SE,rmats,5.55659312145e-07,4.11792377975e-10,-0.429,63.3333333333333,0.380333333333333,0.809666666666667,exonStart_0base:176096462|exonEnd:176096585|upstreamES:176065980|upstreamEE:176066079|downstreamES:176111574|downstreamEE:176111703|IJC_SAMPLE_1:26;15;14|SJC_SAMPLE_1:19;11;10|IJC_SAMPLE_2:50;82;58|SJC_SAMPLE_2:4;11;6|IncFormLen:222|SkipFormLen:99|PSI_1_persub:0.379;0.378;0.384|PSI_2_persub:0.848;0.769;0.812,,NA,,,NA
chr7,+,ABCB8,ENSG00000197150.12,SE,rmats,0,0,-0.456,98.6666666666667,0.0183333333333333,0.474,exonStart_0base:151031240|exonEnd:151031291|upstreamES:151028449|upstreamEE:151028610|downstreamES:151033604|downstreamEE:151033917|IJC_SAMPLE_1:1;2;5|SJC_SAMPLE_1:103;108;85|IJC_SAMPLE_2:86;105;68|SJC_SAMPLE_2:49;75;66|IncFormLen:150|SkipFormLen:99|PSI_1_persub:0.006;0.012;0.037|PSI_2_persub:0.537;0.48;0.405,,NA,,,NA
chr20,+,DLGAP4,ENSG00000080845.17,SE,rmats,0,0,-0.728,348.333333333333,0.219,0.946666666666667,exonStart_0base:36499241|exonEnd:36499321|upstreamES:36496704|upstreamEE:36497066|downstreamES:36500198|downstreamEE:36500611|IJC_SAMPLE_1:22;18;19|SJC_SAMPLE_1:43;29;48|IJC_SAMPLE_2:302;384;359|SJC_SAMPLE_2:3;21;11|IncFormLen:179|SkipFormLen:99|PSI_1_persub:0.221;0.256;0.18|PSI_2_persub:0.982;0.91;0.948,,NA,,,NA
chrX,-,HDX,ENSG00000165259.14,SE,rmats,0,0,-0.411,60.3333333333333,0.02,0.431,exonStart_0base:84501428|exonEnd:84501511|upstreamES:84475250|upstreamEE:84475397|downstreamES:84502341|downstreamEE:84502453|IJC_SAMPLE_1:3;2;0|SJC_SAMPLE_1:58;32;66|IJC_SAMPLE_2:61;59;61|SJC_SAMPLE_2:38;42;51|IncFormLen:182|SkipFormLen:99|PSI_1_persub:0.027;0.033;0.0|PSI_2_persub:0.466;0.433;0.394,,NA,,,NA
chr5,-,ARL15,ENSG00000185305.11,SE,rmats,0.000548437638789,8.06903900918e-07,-0.673,54,0.238333333333333,0.911,exonStart_0base:54307887|exonEnd:54307946|upstreamES:54171783|upstreamEE:54171928|downstreamES:54310294|downstreamEE:54310415|IJC_SAMPLE_1:0;0;4|SJC_SAMPLE_1:2;7;1|IJC_SAMPLE_2:32;55;75|SJC_SAMPLE_2:2;3;5|IncFormLen:158|SkipFormLen:99|PSI_1_persub:0.0;0.0;0.715|PSI_2_persub:0.909;0.92;0.904,,NA,,,NA
chr5,-,ARL15,ENSG00000185305.11,SE,rmats,0,0,-0.454,96.3333333333333,0.0416666666666667,0.495666666666667,exonStart_0base:54307887|exonEnd:54307946|upstreamES:54171783|upstreamEE:54171928|downstreamES:54310431|downstreamEE:54310582|IJC_SAMPLE_1:3;4;11|SJC_SAMPLE_1:103;112;74|IJC_SAMPLE_2:64;89;113|SJC_SAMPLE_2:49;63;54|IncFormLen:158|SkipFormLen:99|PSI_1_persub:0.018;0.022;0.085|PSI_2_persub:0.45;0.47;0.567,,NA,,,NA
chr14,-,STRN3,ENSG00000196792.12,SE,rmats,0,0,-0.533,437,0.325333333333333,0.858666666666667,exonStart_0base:30929200|exonEnd:30929311|upstreamES:30913523|upstreamEE:30913657|downstreamES:30935162|downstreamEE:30935304|IJC_SAMPLE_1:166;106;122|SJC_SAMPLE_1:117;130;136|IJC_SAMPLE_2:397;460;454|SJC_SAMPLE_2:32;27;43|IncFormLen:210|SkipFormLen:99|PSI_1_persub:0.401;0.278;0.297|PSI_2_persub:0.854;0.889;0.833,,NA,,,NA
