,dPSI_TST11872_NGN2.BIO.1755497.12nM,dPSI_TST11872_NGN2.BIO.1755497.40nM
POMT2,0.803,0.966
LIMCH1,0.796,0.869
WDR27,0.78085981212284,0.914454251852659
NUP58,0.779,0.799
DENND1A,0.689717980910128,0.926569463067072
LINC02210,0.605972074387972,0.848069558741701
ARL15,0.601,0.831
LARP7,0.6,0.656
NR1H3,0.596311811663982,0.48437857864379
HDX,0.594,0.752
LRRC42,0.558,0.707
PDE7A,0.554,0.852
PDXDC1,0.533637122956989,0.783614844593679
STRN3,0.533,0.617
CACNA1C,0.523692045994325,0.82358500577889
RAF1,0.505,0.755
CACNB4,0.503,0.593521875685815
STXBP5L,0.496293190287179,0.533284681777198
CLASP2,0.495402384307501,0.728804588336651
XRN2,0.493448104052929,0.785944143104131
SENP6,0.490295373145182,0.671286798917657
DLGAP4,0.486,0.301
AC026786.1,0.483384729870954,0.688659169916607
MELTF,0.480565593575054,0.656834504530684
RBBP8,0.479121755886868,0.557245331145712
STRN,0.4767750197688,0.60838825280961
ABCB8,0.476,0.788
SCLY,0.463,0.327
DHFR,0.458642857701118,0.698925118401842
TAF2,0.449,0.744
ERCC8,0.423559191747241,0.418
C12orf4,0.419325106285347,0.832788694425748
DENND4A,0.410144196167056,0.568
MYCBP2,0.406,0.306
RAB3IP,0.406,0.695
KDM6A,0.385,0.74
GXYLT1,0.384585601438174,0.853848536016161
ARMH3,0.381384388827453,0.617240154685446
WDR17,0.379,0.506
ZFP82,0.369571935573601,0.670380746516952
SKP1,0.364,0.458
ASCC3,0.355515783335247,0.754142144714933
AXIN1,0.355,0.769
KLHL1,0.350183276781026,0.400181452059447
SNHG14,0.348,0.311
FAAP20,0.343,0.4
TMEM50B,0.335779039926828,0.467
ADAM17,0.327,0.381
SF3B1,0.316,0.495
SERGEF,0.314,0.421
FGD4,0.309986657268661,0.431481861689023
C10orf82,0.306,0.382
CSTF3,0.299520207084783,0.482837106432312
SLC25A17,0.295609813914665,0.418
EXOC6B,0.294790087749042,0.345
TIAM1,0.279937146057013,0.585303377930691
SETX,0.265889699744703,0.631373303406603
LINC01011,0.265514251138759,0.405066490147094
TET1,0.262543706553409,0.315219380692005
FBL,0.259467685317266,0.265193360111587
TENT2,0.252256982149637,0.493251340692973
