,1st_exp_iPSC.6152.10x,2nd_exp_iPSC.6152.10x,1st_exp_iPSC.6152.3x,2nd_exp_iPSC.6152.3x,1st_exp_NGN2.6152.10x,2nd_exp_NGN2.6152.10x,1st_exp_NGN2.6152.3x,2nd_exp_NGN2.6152.3x
C12orf4,0.909842765763971,0.858960180609832,0.664335025780151,0.50327666754883,0.825331864128536,0.756930028729205,0.558570597310026,0
ASAP1,0.867,0.958,0.486,0.463,0,0,0,0
ARL15,0.856052552302831,0.968,0.720538851426466,0.667107268604948,0.906,0.928,0.733,0.588
AC009022.1,0.8036194461417,0.749804444075664,0.359876037588846,0,0.938839353956395,0.881782364882515,0,0.734158043222878
POMT2,0.798,0.856,0.584,0.491,0.971,0.938,0.772,0.439
ADAMTS19,0.796548229371506,0.719661661843222,0.27137540233174,0,0,0,0,0
HDX,0.757,0.766,0.511238624060266,0.512465709763022,0.715,0.765,0.533721925356221,0
AC104109.3,0.741474290522977,0,0.523033017444433,0,0,0,0,0
HTT,0.725180960750915,0.660121616374787,0,0,0.314,0.828576539684057,0.736410802978668,0.438565198795793
PDXDC2P,0.709432250138862,0.783419731785008,0,0,0.968242775526243,0.898369249623993,0,0.720509398680798
MATK,0.701375833971047,0.713342052949013,0.446943218831285,0.380226794615918,0.575025458510517,0,0.327578241706292,0
LYRM1,0.623,0.671,0,0,0.584,0.548,0.359,0
KDM6A,0.62,0.641,0.362,0.309,0.772,0.628,0.39,0.258655934262757
NAV2,0.616,0.516,0.312,0.35,0,0,0,0
FBN2,0.588013575521796,0.606624691214893,0.290189086903792,0,0,0,0,0
SKP1,0.5870624763278,0.620597136570765,0.503387649313856,0.584729771484126,0.476,0.444,0.434,0.361
CENPI,0.585838308019039,0.676315320879166,0,0,0,0,0,0
LARP7,0.585,0.325,0.354,0.351,0.657,0.423,0.527,0.416
MADD,0.576,0.625,0.302,0.358,0,0.315,0,0
PDE7A,0.575,0.617,0.386,0.367,0.818,0.723,0.541,0.316
