,1st_exp_NGN2.6152.10x,2nd_exp_NGN2.6152.10x
C12orf4,0.825331864,0.756930029
ASAP1,0,0
ARL15,0.906,0.928
AC009022.1,0.938839354,0.881782365
POMT2,0.971,0.938
ADAMTS19,0,0
HDX,0.715,0.765
AC104109.3,0,0
HTT,0.314,0.82857654
PDXDC2P,0.968242776,0.89836925
MATK,0.575025459,0
LYRM1,0.584,0.548
KDM6A,0.772,0.628
NAV2,0,0
FBN2,0,0
SKP1,0.476,0.444
CENPI,0,0
LARP7,0.657,0.423
MADD,0,0.315
PDE7A,0.818,0.723
LRRC42,0.729,0.665
ERGIC3,0,0
EXOC6B,0.731,0.592
CLASP2,0.667045723,0.626932831
FOXM1,0,0
SENP6,0.726,0.537
COL4A5,0,0
ZNF730,0.770797088,0
ZFP82,0.635560062,0.58300794
LINC02210,0.820366386,0.609369323
C14orf132,0.469,0.389
ZNF66,0,0
RAB2B,0.284923377,0.271959587
STX18-AS1,0.803360744,0
TPTEP2,0.501,0.463
MYCBP2,0.312,0.355
GPSM2,0,0
TMEM241,0,0
HSD17B4,0.282165221,0
RAP1A,0.452,0.332
TAB3,0,0
VPS29,0.545842189,0.435084363
TMEM214,0.413784692,0.321249092
BRD2,0,0
PDXDC1,0.900234225,0.397
TAF2,0.636,0.583
MAN1B1,0.416016974,0.2852359
GRAMD2B,0,0
KCNT2,0.947676341,0.8542267
WDR27,0.75344439,0.820408469
BECN1,0.453837684,0.295044036
FAAP20,0.336,0.433
FAM162A,0.33,0.306
PLCH1,0,0
ABCB8,0.723,0.615
MMS22L,0,0
FGF12,0.333844754,0.304478692
APLP2,0.632,0.47
TARBP1,0.464,0.3
ANKRD18CP,0,0
ADAL,0,0
AXIN1,0.714,0.568
ODR4,0,0
TNRC6A,0,0
DLGAP4,0.654,0.593
RAF1,0.865,0.725
OXSM,0,0
GGCT,0.301,0
STOX2,0.417978378,0.368959648
PLPP5,0,0
DENND5A,0.407,0.371
LINC00667,0,0
CLN3,0.394,0.323
ZMIZ2,0.386,0.393
TIAM1,0.685305687,0.50872818
NUP58,0.8,0.437
RCC1,0.461574248,0.255421619
STRN3,0.313,0.317
PNISR,0.540614714,0.487799454
STRN,0.64949716,0.538425677
AC138894.1,0.397,0
ZNF618,0.397,0.386
MLLT10,0.699212302,0.692197764
TMEM50B,0.399,0.374022383
TENT2,0.372570602,0.522736525
FGFR1,0,0
XRN2,0.928090522,0.859889064
FAM174A,0.317,0.325143723
TCF4,0,0
SPIDR,0,0
GCFC2,0.916286518,0.886923301
SAR1A,0,0
WNK1,0.552767226,0.441283801
KIF21A,0.293459058,0
DHFR,0.71648068,0.679853667
CACNA2D1,0,0
CHD9,0.345188651,0.28315878
SH3YL1,0.256568953,0.331
APIP,0.530292945,0.449315509
SF3B3,0.348959506,0.261819973
PPIP5K2,0,0
LNPK,0.272969888,0
AC008581.2,0.585490042,0.397613563
AC026786.1,0.569906132,0
AC068547.1,0.760438359,0.513482076
AC114490.2,0.632363274,0.451545981
ACAD11,0,0.489903948
ACADM,0,0.466635111
ADAM17,0.405,0.383
ADAMTS10,0.397324889,0.293607453
ADGRL1,0.346461478,0
AGGF1,0.442449229,0
AGPS,0.352274252,0
AKAP8L,0,0
AL031315.1,0.611054396,0.375903495
AL157778.1,0,0
AL157871.6,0.491555549,0
ANKHD1,0,0
ANKRD13D,0,0
ANKS3,0,0.400880055
ANXA6,0.372,0
APPL2,0.501012884,0.496604771
ARHGAP5,0.422133825,0.292203888
ARMCX6,0.32,0
ARMH3,0.514773196,0.472813356
ASAP2,0,0
