Comparison,HTT,SMN2
dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,NA,-0.274667105
dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,NA,NA
dPSI_GM_BIO_2178782_10x_vs_GM_DMSO,0.582198416,-0.28615692
dPSI_GM_BIO_2178782_3x_vs_GM_DMSO,0.266403816,-0.266593605
dPSI_GM_BIO_2186827_10x_vs_GM_DMSO,NA,-0.275795513
dPSI_GM_BIO_2186827_3x_vs_GM_DMSO,0.367161961,NA
dPSI_GM_BIO_2196772_10x_vs_GM_DMSO,0.539776822,-0.28073473
dPSI_GM_BIO_2196772_3x_vs_GM_DMSO,NA,-0.261673986
dPSI_GM_BIO_2196895_10x_vs_GM_DMSO,NA,-0.274340385
dPSI_GM_BIO_2196895_3x_vs_GM_DMSO,NA,NA
dPSI_GM_BIO_2197306_10x_vs_GM_DMSO,NA,-0.284579968
dPSI_GM_BIO_2197306_3x_vs_GM_DMSO,NA,-0.254330637
dPSI_GM_BIO_2199562_10x_vs_GM_DMSO,0.473243372,-0.274028583
dPSI_GM_BIO_2199562_3x_vs_GM_DMSO,0.399609511,-0.261221634
dPSI_GM_BIO_2201042_10x_vs_GM_DMSO,NA,NA
dPSI_GM_BIO_2201042_3x_vs_GM_DMSO,0.267237035,NA
dPSI_GM_BIO_2204984_10x_vs_GM_DMSO,0.453920541,-0.277882629
dPSI_GM_BIO_2204984_3x_vs_GM_DMSO,NA,-0.258232282
dPSI_GM_BIO_2206678_10x_vs_GM_DMSO,0.312821592,NA
dPSI_GM_BIO_2206678_3x_vs_GM_DMSO,NA,NA
dPSI_GM_BIO_2207180_10x_vs_GM_DMSO,NA,NA
dPSI_GM_BIO_2207180_3x_vs_GM_DMSO,NA,NA
,,
,,
,,
,,
Comparison,HTT,SMN2
dPSI_GM_BIO_2178782_10x_vs_GM_BIO_1949634_10x,0.573112312,NA
dPSI_GM_BIO_2178782_3x_vs_GM_BIO_1949634_3x,0.251316009,NA
dPSI_GM_BIO_2186827_10x_vs_GM_BIO_1949634_10x,0.561645081,NA
dPSI_GM_BIO_2186827_3x_vs_GM_BIO_1949634_3x,0.351136013,NA
dPSI_GM_BIO_2196772_10x_vs_GM_BIO_1949634_10x,0.530291565,NA
dPSI_GM_BIO_2196772_3x_vs_GM_BIO_1949634_3x,NA,NA
dPSI_GM_BIO_2196895_10x_vs_GM_BIO_1949634_10x,NA,NA
dPSI_GM_BIO_2196895_3x_vs_GM_BIO_1949634_3x,NA,NA
dPSI_GM_BIO_2197306_10x_vs_GM_BIO_1949634_10x,0.396879107,NA
dPSI_GM_BIO_2197306_3x_vs_GM_BIO_1949634_3x,NA,NA
dPSI_GM_BIO_2199562_10x_vs_GM_BIO_1949634_10x,0.461609221,NA
dPSI_GM_BIO_2199562_3x_vs_GM_BIO_1949634_3x,0.383912975,NA
dPSI_GM_BIO_2201042_10x_vs_GM_BIO_1949634_10x,NA,NA
dPSI_GM_BIO_2201042_3x_vs_GM_BIO_1949634_3x,-0.367444445,NA
dPSI_GM_BIO_2204984_10x_vs_GM_BIO_1949634_10x,0.447043597,NA
dPSI_GM_BIO_2204984_3x_vs_GM_BIO_1949634_3x,NA,NA
dPSI_GM_BIO_2206678_10x_vs_GM_BIO_1949634_10x,0.316328749,NA
dPSI_GM_BIO_2206678_3x_vs_GM_BIO_1949634_3x,NA,NA
dPSI_GM_BIO_2207180_10x_vs_GM_BIO_1949634_10x,NA,NA
dPSI_GM_BIO_2207180_3x_vs_GM_BIO_1949634_3x,NA,NA
