UniqueID,Gene.Name,Index1_iPSC_2006152_3xBatch2_log2FoldChange,UniqueID.1,Gene.Name.1,Index2_iPSC_2139701_3xBatch2_log2FoldChange,UniqueID.2,Gene.Name.2,Index3_iPSC_2174714_3xBatch2_log2FoldChange,UniqueID.3,Gene.Name.3,Index4_iPSC_2174748_3xBatch2_log2FoldChange,UniqueID.4,Gene.Name.4,Index5_iPSC_2175420_3xBatch2_log2FoldChange,UniqueID.5,Gene.Name.5,Index6_iPSC_2184088_3xBatch2_log2FoldChange,UniqueID.6,Gene.Name.6,Index7_iPSC_2184090_3xBatch2_log2FoldChange,UniqueID.7,Gene.Name.7,Index8_iPSC_2184741_3xBatch2_log2FoldChange,UniqueID.8,Gene.Name.8,Index9_iPSC_2186527_3xBatch2_log2FoldChange,UniqueID.9,Gene.Name.9,Index10_iPSC_2186866_3xBatch2_log2FoldChange,UniqueID,Gene.Name,Index11_iPSC_2186960_3xBatch2_log2FoldChange
ENSG00000112146.16,FBXO9,-0.7022946,ENSG00000112146.16,FBXO9,-0.86116,ENSG00000228716.7,DHFR,-1.009754,ENSG00000228716.7,DHFR,-0.7314653,ENSG00000108349.17,CASC3,-0.7347742,ENSG00000112146.16,FBXO9,-1.0537494,ENSG00000228716.7,DHFR,-0.7082524,ENSG00000054983.17,GALC,-2.0837781,ENSG00000278996.1,FP671120.5,-45.0107261,ENSG00000112146.16,FBXO9,-1.14310479,ENSG00000278996.1,FP671120.5,-42.8311715
ENSG00000149554.13,CHEK1,-0.8040556,ENSG00000197386.12,HTT,-1.8627128,ENSG00000180957.18,PITPNB,-1.5925485,ENSG00000180957.18,PITPNB,-1.2790309,ENSG00000112146.16,FBXO9,-1.1491342,ENSG00000108349.17,CASC3,-0.6018939,ENSG00000180957.18,PITPNB,-1.3089512,ENSG00000179889.19,PDXDC1,-2.3692623,ENSG00000285238.2,AC006064.6,-18.7444398,ENSG00000228716.7,DHFR,-1.080952708,ENSG00000197386.12,HTT,-1.350324
ENSG00000054983.17,GALC,-0.9370538,ENSG00000145808.10,ADAMTS19,-1.4923722,ENSG00000179889.19,PDXDC1,-1.8995114,ENSG00000088930.8,XRN2,-1.2368485,ENSG00000145808.10,ADAMTS19,-2.534781,ENSG00000088930.8,XRN2,-1.9171513,ENSG00000197386.12,HTT,-1.4297502,ENSG00000185052.12,SLC24A3,-1.52768,ENSG00000197386.12,HTT,-1.2617007,ENSG00000088930.8,XRN2,-2.118619081,ENSG00000228716.7,DHFR,-0.5968276
ENSG00000197386.12,HTT,-1.4361613,ENSG00000149554.13,CHEK1,-0.7213516,ENSG00000164329.13,TENT2,-1.487725,ENSG00000197386.12,HTT,-1.3250137,ENSG00000149554.13,CHEK1,-1.1567628,ENSG00000145808.10,ADAMTS19,-2.2944591,ENSG00000112146.16,FBXO9,-0.6374965,ENSG00000156298.12,TSPAN7,-2.3420947,ENSG00000149554.13,CHEK1,-0.680262,ENSG00000180957.18,PITPNB,-1.943320764,ENSG00000149554.13,CHEK1,-0.6891323
ENSG00000171246.6,NPTX1,-1.7407216,ENSG00000253861.1,SLC2A3P1,-17.7389116,ENSG00000185052.12,SLC24A3,-1.2108934,ENSG00000164329.13,TENT2,-1.1250161,ENSG00000088930.8,XRN2,-1.8158149,ENSG00000197386.12,HTT,-1.9622041,ENSG00000088930.8,XRN2,-1.1977491,ENSG00000149084.13,HSD17B12,-1.9306851,ENSG00000286235.1,AL035461.4,-25.5817555,ENSG00000108349.17,CASC3,-0.601457276,ENSG00000180957.18,PITPNB,-1.0257795
ENSG00000088930.8,XRN2,-1.2883842,ENSG00000171246.6,NPTX1,-1.5153187,ENSG00000197386.12,HTT,-1.609852,ENSG00000149554.13,CHEK1,-0.6642091,ENSG00000197386.12,HTT,-1.9053659,ENSG00000228716.7,DHFR,-0.8690212,ENSG00000149554.13,CHEK1,-0.7020826,ENSG00000164329.13,TENT2,-1.5920522,ENSG00000164329.13,TENT2,-1.0141928,ENSG00000179889.19,PDXDC1,-2.313803919,ENSG00000088930.8,XRN2,-1.0574748
ENSG00000145808.10,ADAMTS19,-1.5138579,ENSG00000164329.13,TENT2,-1.1371068,ENSG00000088930.8,XRN2,-1.4247456,ENSG00000113643.9,RARS1,-0.6855062,ENSG00000263244.2,AC087190.3,-28.6715092,ENSG00000149554.13,CHEK1,-0.9568697,ENSG00000145808.10,ADAMTS19,-1.3690669,ENSG00000184014.8,DENND5A,-1.0194488,ENSG00000088930.8,XRN2,-0.9702623,ENSG00000149554.13,CHEK1,-1.174117851,ENSG00000286235.1,AL035461.4,-24.83613
ENSG00000156298.12,TSPAN7,-1.5492991,ENSG00000179889.19,PDXDC1,-1.3249352,ENSG00000113643.9,RARS1,-0.8853914,ENSG00000145808.10,ADAMTS19,-1.251322,ENSG00000171246.6,NPTX1,-2.2288414,ENSG00000180957.18,PITPNB,-1.455166,ENSG00000164329.13,TENT2,-0.9551978,ENSG00000228716.7,DHFR,-0.7403108,ENSG00000145808.10,ADAMTS19,-1.1159117,ENSG00000197386.12,HTT,-2.138084557,ENSG00000164329.13,TENT2,-1.0045716
ENSG00000179889.19,PDXDC1,-1.3104252,ENSG00000088930.8,XRN2,-1.0674345,ENSG00000145808.10,ADAMTS19,-1.6714868,ENSG00000179889.19,PDXDC1,-1.1871399,ENSG00000179889.19,PDXDC1,-1.5439571,ENSG00000168803.15,ADAL,-0.8516102,ENSG00000123178.15,SPRYD7,-0.9523095,ENSG00000185104.20,FAF1,-1.2223,ENSG00000180957.18,PITPNB,-0.8543323,ENSG00000145808.10,ADAMTS19,-2.347311876,ENSG00000145808.10,ADAMTS19,-1.1880469
ENSG00000188153.14,COL4A5,-0.9638741,ENSG00000180957.18,PITPNB,-0.9295996,ENSG00000112146.16,FBXO9,-0.6665268,ENSG00000256349.1,AP002748.5,-21.3507861,ENSG00000168803.15,ADAL,-0.8294476,ENSG00000179889.19,PDXDC1,-1.4476837,ENSG00000134775.15,FHOD3,-1.8504618,ENSG00000163597.15,SNHG16,-0.6567795,ENSG00000123178.15,SPRYD7,-0.7954593,ENSG00000164329.13,TENT2,-1.73368048,ENSG00000179889.19,PDXDC1,-1.0315866
