UniqueID,Gene.Name,Index1_iPSC.1755497.3xBatch1_log2FoldChange,UniqueID.1,Gene.Name.1,Index2_iPSC.2006152.3xBatch1_log2FoldChange,UniqueID.2,Gene.Name.2,Index3_iPSC.2059811.3xBatch1_log2FoldChange,UniqueID.3,Gene.Name.3,Index4_iPSC.2060573.3xBatch1_log2FoldChange,UniqueID.4,Gene.Name.4,Index5_iPSC.2070692.3xBatch1_log2FoldChange,UniqueID.5,Gene.Name.5,Index6_iPSC.2135644.3xBatch1_log2FoldChange,UniqueID,Gene.Name,Index7_iPSC.2136770.3xBatch1_log2FoldChange
ENSG00000149554.13,CHEK1,-0.6812347,ENSG00000149554.13,CHEK1,-0.7581753,ENSG00000149084.13,HSD17B12,-3.7237324,ENSG00000228716.7,DHFR,-2.0464008,ENSG00000228716.7,DHFR,-1.89945477,ENSG00000228716.7,DHFR,-1.2251745,ENSG00000054983.17,GALC,-2.305754
ENSG00000166394.15,CYB5R2,-0.7937411,ENSG00000054983.17,GALC,-0.9534867,ENSG00000054983.17,GALC,-2.4237652,ENSG00000139734.19,DIAPH3,-3.1841954,ENSG00000141279.16,NPEPPS,-1.949949629,ENSG00000054983.17,GALC,-2.10289,ENSG00000149084.13,HSD17B12,-2.7598525
ENSG00000112146.16,FBXO9,-0.7811491,ENSG00000144712.12,CAND2,-1.118173,ENSG00000139734.19,DIAPH3,-2.5007325,ENSG00000168803.15,ADAL,-2.0273941,ENSG00000139734.19,DIAPH3,-3.030798249,ENSG00000144712.12,CAND2,-1.9495336,ENSG00000228716.7,DHFR,-1.0240083
ENSG00000171246.6,NPTX1,-0.9945789,ENSG00000166394.15,CYB5R2,-0.8498279,ENSG00000141279.16,NPEPPS,-1.3611792,ENSG00000166394.15,CYB5R2,-2.0029027,ENSG00000054983.17,GALC,-2.12976022,ENSG00000185052.12,SLC24A3,-1.8775107,ENSG00000144712.12,CAND2,-2.0098579
ENSG00000263715.7,LINC02210-CRHR1,-27.6709287,ENSG00000156298.12,TSPAN7,-1.3063272,ENSG00000185052.12,SLC24A3,-2.1955366,ENSG00000123213.23,NLN,-1.7219255,ENSG00000108349.17,CASC3,-1.052276714,ENSG00000188153.14,COL4A5,-1.8391349,ENSG00000185052.12,SLC24A3,-1.7405936
,,,ENSG00000185052.12,SLC24A3,-0.7090789,ENSG00000144712.12,CAND2,-2.1723164,ENSG00000108349.17,CASC3,-1.1097569,ENSG00000185052.12,SLC24A3,-2.124077125,ENSG00000149084.13,HSD17B12,-2.0141026,ENSG00000139734.19,DIAPH3,-1.7126182
,,,ENSG00000112146.16,FBXO9,-0.7184058,ENSG00000132773.12,TOE1,-1.5386017,ENSG00000054983.17,GALC,-1.7915518,ENSG00000168803.15,ADAL,-1.496812149,ENSG00000139734.19,DIAPH3,-1.7969199,ENSG00000188153.14,COL4A5,-1.5914168
,,,ENSG00000188153.14,COL4A5,-0.7132199,ENSG00000185104.20,FAF1,-2.1224185,ENSG00000185052.12,SLC24A3,-2.0400964,ENSG00000149084.13,HSD17B12,-2.362604883,ENSG00000108349.17,CASC3,-0.751016,ENSG00000149554.13,CHEK1,-0.9333659
,,,ENSG00000171246.6,NPTX1,-0.8545849,ENSG00000107625.13,DDX50,-1.1190894,ENSG00000137710.17,RDX,-1.4708481,ENSG00000166394.15,CYB5R2,-1.621316226,ENSG00000149554.13,CHEK1,-0.923521,ENSG00000156298.12,TSPAN7,-2.1041788
,,,ENSG00000189221.9,MAOA,-0.7372544,ENSG00000188153.14,COL4A5,-1.8979737,ENSG00000161888.11,SPC24,-0.9345496,ENSG00000144712.12,CAND2,-1.97606125,ENSG00000156298.12,TSPAN7,-2.2500305,ENSG00000185104.20,FAF1,-1.4193534
