UniqueID,Gene.Name,Index1_iPSC.1755497.3xBatch3_log2FoldChange,UniqueID.1,Gene.Name.1,Index2_iPSC.2006152.3xBatch3_log2FoldChange,UniqueID.2,Gene.Name.2,Index3_iPSC.2189972.3xBatch3_log2FoldChange,UniqueID.3,Gene.Name.3,Index4_iPSC.2194943.3xBatch3_log2FoldChange,UniqueID.4,Gene.Name.4,Index5_iPSC.2195127.3xBatch3_log2FoldChange,UniqueID.5,Gene.Name.5,Index6_iPSC.2195327.3xBatch3_log2FoldChange,UniqueID,Gene.Name,Index7_iPSC.2197294.3xBatch3_log2FoldChange
ENSG00000149554.13,CHEK1,-0.6255764,ENSG00000149554.13,CHEK1,-0.7035986,ENSG00000149554.13,CHEK1,-0.688086484,ENSG00000286235.1,AL035461.4,-30.7347563,ENSG00000149554.13,CHEK1,-0.7722095,ENSG00000197386.12,HTT,-1.7112508,ENSG00000197386.12,HTT,-1.4368641
ENSG00000112146.16,FBXO9,-0.6293504,ENSG00000197386.12,HTT,-1.3798612,ENSG00000197386.12,HTT,-1.587071671,ENSG00000278996.1,FP671120.5,-21.1793297,ENSG00000088930.8,XRN2,-1.3099301,ENSG00000149554.13,CHEK1,-0.7286375,ENSG00000134775.15,FHOD3,-1.708242
ENSG00000197386.12,HTT,-1.2637649,ENSG00000134775.15,FHOD3,-1.9421886,ENSG00000134775.15,FHOD3,-2.085279317,ENSG00000134775.15,FHOD3,-2.0788495,ENSG00000197386.12,HTT,-1.444841,ENSG00000278996.1,FP671120.5,-21.176486,ENSG00000164329.13,TENT2,-0.8516194
ENSG00000134775.15,FHOD3,-1.4678656,ENSG00000088930.8,XRN2,-1.161083,ENSG00000144712.12,CAND2,-0.959559562,ENSG00000197386.12,HTT,-1.2888851,ENSG00000112146.16,FBXO9,-0.6762828,ENSG00000134775.15,FHOD3,-1.9867698,ENSG00000088930.8,XRN2,-0.6820171
ENSG00000166394.15,CYB5R2,-0.6584774,ENSG00000144712.12,CAND2,-0.868305,ENSG00000088930.8,XRN2,-1.230433597,ENSG00000088930.8,XRN2,-0.9625801,ENSG00000134775.15,FHOD3,-1.8353025,ENSG00000103064.15,SLC7A6,-0.6268175,,,
ENSG00000179889.19,PDXDC1,-0.8829484,ENSG00000179889.19,PDXDC1,-1.2482734,ENSG00000179889.19,PDXDC1,-1.363730107,ENSG00000164329.13,TENT2,-0.9230733,ENSG00000168803.15,ADAL,-0.5954394,ENSG00000088930.8,XRN2,-1.1663928,,,
ENSG00000088930.8,XRN2,-0.7238835,ENSG00000054983.17,GALC,-0.8872168,ENSG00000228716.7,DHFR,-0.713204409,ENSG00000179889.19,PDXDC1,-0.9448605,ENSG00000123178.15,SPRYD7,-0.624381,ENSG00000179889.19,PDXDC1,-1.387633,,,
ENSG00000164329.13,TENT2,-0.7576199,ENSG00000156298.12,TSPAN7,-1.1811112,ENSG00000112146.16,FBXO9,-0.605846637,ENSG00000180957.18,PITPNB,-0.8643607,ENSG00000166394.15,CYB5R2,-0.8069297,ENSG00000112146.16,FBXO9,-0.5861221,,,
,,,ENSG00000164329.13,TENT2,-1.0934913,ENSG00000166736.11,HTR3A,-0.663086837,ENSG00000189221.9,MAOA,-0.7542566,ENSG00000145808.10,ADAMTS19,-1.7913451,ENSG00000164329.13,TENT2,-1.1424379,,,
,,,ENSG00000145808.10,ADAMTS19,-1.6506784,ENSG00000123178.15,SPRYD7,-0.650473685,ENSG00000171817.17,ZNF540,-1.2601825,ENSG00000179889.19,PDXDC1,-1.0011995,ENSG00000144712.12,CAND2,-0.733251,,,
