Sample Name,Cell_Line,Treatment,Group,Details,Sample_Summary,Organism
iPSC_4088_10x_1,iPSC,iPSC_4088,iPSC_4088_10x,iPSC_4088_10x_1,iPSC_4088_10x_1,Homo sapiens
iPSC_4088_10x_2,iPSC,iPSC_4088,iPSC_4088_10x,iPSC_4088_10x_2,iPSC_4088_10x_2,Homo sapiens
iPSC_4088_10x_3,iPSC,iPSC_4088,iPSC_4088_10x,iPSC_4088_10x_3,iPSC_4088_10x_3,Homo sapiens
iPSC_4088_3x_1,iPSC,iPSC_4088,iPSC_4088_3x,iPSC_4088_3x_1,iPSC_4088_3x_1,Homo sapiens
iPSC_4088_3x_2,iPSC,iPSC_4088,iPSC_4088_3x,iPSC_4088_3x_2,iPSC_4088_3x_2,Homo sapiens
iPSC_4088_3x_3,iPSC,iPSC_4088,iPSC_4088_3x,iPSC_4088_3x_3,iPSC_4088_3x_3,Homo sapiens
iPSC_4090_10x_1,iPSC,iPSC_4090,iPSC_4090_10x,iPSC_4090_10x_1,iPSC_4090_10x_1,Homo sapiens
iPSC_4090_10x_2,iPSC,iPSC_4090,iPSC_4090_10x,iPSC_4090_10x_2,iPSC_4090_10x_2,Homo sapiens
iPSC_4090_10x_3,iPSC,iPSC_4090,iPSC_4090_10x,iPSC_4090_10x_3,iPSC_4090_10x_3,Homo sapiens
iPSC_4090_3x_1,iPSC,iPSC_4090,iPSC_4090_3x,iPSC_4090_3x_1,iPSC_4090_3x_1,Homo sapiens
iPSC_4090_3x_2,iPSC,iPSC_4090,iPSC_4090_3x,iPSC_4090_3x_2,iPSC_4090_3x_2,Homo sapiens
iPSC_4090_3x_3,iPSC,iPSC_4090,iPSC_4090_3x,iPSC_4090_3x_3,iPSC_4090_3x_3,Homo sapiens
iPSC_4714_10x_1,iPSC,iPSC_4714,iPSC_4714_10x,iPSC_4714_10x_1,iPSC_4714_10x_1,Homo sapiens
iPSC_4714_10x_2,iPSC,iPSC_4714,iPSC_4714_10x,iPSC_4714_10x_2,iPSC_4714_10x_2,Homo sapiens
iPSC_4714_10x_3,iPSC,iPSC_4714,iPSC_4714_10x,iPSC_4714_10x_3,iPSC_4714_10x_3,Homo sapiens
iPSC_4714_3x_1,iPSC,iPSC_4714,iPSC_4714_3x,iPSC_4714_3x_1,iPSC_4714_3x_1,Homo sapiens
iPSC_4714_3x_2,iPSC,iPSC_4714,iPSC_4714_3x,iPSC_4714_3x_2,iPSC_4714_3x_2,Homo sapiens
iPSC_4714_3x_3,iPSC,iPSC_4714,iPSC_4714_3x,iPSC_4714_3x_3,iPSC_4714_3x_3,Homo sapiens
iPSC_4741_10x_1,iPSC,iPSC_4741,iPSC_4741_10x,iPSC_4741_10x_1,iPSC_4741_10x_1,Homo sapiens
iPSC_4741_10x_2,iPSC,iPSC_4741,iPSC_4741_10x,iPSC_4741_10x_2,iPSC_4741_10x_2,Homo sapiens
iPSC_4741_10x_3,iPSC,iPSC_4741,iPSC_4741_10x,iPSC_4741_10x_3,iPSC_4741_10x_3,Homo sapiens
iPSC_4741_3x_1,iPSC,iPSC_4741,iPSC_4741_3x,iPSC_4741_3x_1,iPSC_4741_3x_1,Homo sapiens
iPSC_4741_3x_2,iPSC,iPSC_4741,iPSC_4741_3x,iPSC_4741_3x_2,iPSC_4741_3x_2,Homo sapiens
iPSC_4741_3x_3,iPSC,iPSC_4741,iPSC_4741_3x,iPSC_4741_3x_3,iPSC_4741_3x_3,Homo sapiens
iPSC_4748_10x_1,iPSC,iPSC_4748,iPSC_4748_10x,iPSC_4748_10x_1,iPSC_4748_10x_1,Homo sapiens
iPSC_4748_10x_2,iPSC,iPSC_4748,iPSC_4748_10x,iPSC_4748_10x_2,iPSC_4748_10x_2,Homo sapiens
iPSC_4748_10x_3,iPSC,iPSC_4748,iPSC_4748_10x,iPSC_4748_10x_3,iPSC_4748_10x_3,Homo sapiens
iPSC_4748_3x_1,iPSC,iPSC_4748,iPSC_4748_3x,iPSC_4748_3x_1,iPSC_4748_3x_1,Homo sapiens
iPSC_4748_3x_2,iPSC,iPSC_4748,iPSC_4748_3x,iPSC_4748_3x_2,iPSC_4748_3x_2,Homo sapiens
iPSC_4748_3x_3,iPSC,iPSC_4748,iPSC_4748_3x,iPSC_4748_3x_3,iPSC_4748_3x_3,Homo sapiens
iPSC_5420_10x_1,iPSC,iPSC_5420,iPSC_5420_10x,iPSC_5420_10x_1,iPSC_5420_10x_1,Homo sapiens
iPSC_5420_10x_2,iPSC,iPSC_5420,iPSC_5420_10x,iPSC_5420_10x_2,iPSC_5420_10x_2,Homo sapiens
iPSC_5420_10x_3,iPSC,iPSC_5420,iPSC_5420_10x,iPSC_5420_10x_3,iPSC_5420_10x_3,Homo sapiens
