Sample Name,Cell_Line,Treatment,Group,Details,Sample_Summary,Organism
iPSC-BIO-2197294-3x-1.Aligned.sortedByCoord.out.bam,iPSC,PTC518,iPSC-2197294-3x,TPM.iPSC.BIO.2197294.3x.1,iPSC_2197294_3x_1,Homo sapiens
iPSC-BIO-2197294-3x-2.Aligned.sortedByCoord.out.bam,iPSC,PTC518,iPSC-2197294-3x,TPM.iPSC.BIO.2197294.3x.2,iPSC_2197294_3x_2,Homo sapiens
iPSC-BIO-2197294-3x-3.Aligned.sortedByCoord.out.bam,iPSC,PTC518,iPSC-2197294-3x,TPM.iPSC.BIO.2197294.3x.3,iPSC_2197294_3x_3,Homo sapiens
iPSC-BIO-2197294-3x-4.Aligned.sortedByCoord.out.bam,iPSC,PTC518,iPSC-2197294-3x,TPM.iPSC.BIO.2197294.3x.4,iPSC_2197294_3x_4,Homo sapiens
iPSC-DMSO-1.Aligned.sortedByCoord.out.bam,iPSC,DMSO,iPSC-DMSO,TPM.iPSC.DMSO.1,iPSC.DMSO_1,Homo sapiens
iPSC-DMSO-2.Aligned.sortedByCoord.out.bam,iPSC,DMSO,iPSC-DMSO,TPM.iPSC.DMSO.2,iPSC.DMSO_2,Homo sapiens
iPSC-DMSO-3.Aligned.sortedByCoord.out.bam,iPSC,DMSO,iPSC-DMSO,TPM.iPSC.DMSO.3,iPSC.DMSO_3,Homo sapiens
iPSC-DMSO-4.Aligned.sortedByCoord.out.bam,iPSC,DMSO,iPSC-DMSO,TPM.iPSC.DMSO.4,iPSC.DMSO_4,Homo sapiens
NGN2-BIO-2197294-3x-1.Aligned.sortedByCoord.out.bam,NGN2,PTC518,NGN2-2197294-3x,TPM.NGN2.BIO.2197294.3x.1,NGN2_2197294_3x_1,Homo sapiens
NGN2-BIO-2197294-3x-2.Aligned.sortedByCoord.out.bam,NGN2,PTC518,NGN2-2197294-3x,TPM.NGN2.BIO.2197294.3x.2,NGN2_2197294_3x_2,Homo sapiens
NGN2-BIO-2197294-3x-3.Aligned.sortedByCoord.out.bam,NGN2,PTC518,NGN2-2197294-3x,TPM.NGN2.BIO.2197294.3x.3,NGN2_2197294_3x_3,Homo sapiens
NGN2-BIO-2197294-3x-4.Aligned.sortedByCoord.out.bam,NGN2,PTC518,NGN2-2197294-3x,TPM.NGN2.BIO.2197294.3x.4,NGN2_2197294_3x_4,Homo sapiens
NGN2-DMSO-1.Aligned.sortedByCoord.out.bam,NGN2,DMSO,NGN2-DMSO,TPM.NGN2.DMSO.1,NGN2.DMSO_1,Homo sapiens
NGN2-DMSO-2.Aligned.sortedByCoord.out.bam,NGN2,DMSO,NGN2-DMSO,TPM.NGN2.DMSO.2,NGN2.DMSO_2,Homo sapiens
NGN2-DMSO-3.Aligned.sortedByCoord.out.bam,NGN2,DMSO,NGN2-DMSO,TPM.NGN2.DMSO.3,NGN2.DMSO_3,Homo sapiens
NGN2-DMSO-4.Aligned.sortedByCoord.out.bam,NGN2,DMSO,NGN2-DMSO,TPM.NGN2.DMSO.4,NGN2.DMSO_4,Homo sapiens
Sy5Y-BIO-2197294-3x-1.Aligned.sortedByCoord.out.bam,Sy5Y,PTC518,Sy5Y-2197294-3x,TPM.Sy5Y.BIO.2197294.3x.1,Sy5Y_2197294_3x_1,Homo sapiens
Sy5Y-BIO-2197294-3x-2.Aligned.sortedByCoord.out.bam,Sy5Y,PTC518,Sy5Y-2197294-3x,TPM.Sy5Y.BIO.2197294.3x.2,Sy5Y_2197294_3x_2,Homo sapiens
Sy5Y-BIO-2197294-3x-3.Aligned.sortedByCoord.out.bam,Sy5Y,PTC518,Sy5Y-2197294-3x,TPM.Sy5Y.BIO.2197294.3x.3,Sy5Y_2197294_3x_3,Homo sapiens
Sy5Y-BIO-2197294-3x-4.Aligned.sortedByCoord.out.bam,Sy5Y,PTC518,Sy5Y-2197294-3x,TPM.Sy5Y.BIO.2197294.3x.4,Sy5Y_2197294_3x_4,Homo sapiens
Sy5Y-DMSO-1.Aligned.sortedByCoord.out.bam,Sy5Y,DMSO,Sy5Y-DMSO,TPM.Sy5Y.DMSO.1,Sy5Y.DMSO_1,Homo sapiens
Sy5Y-DMSO-2.Aligned.sortedByCoord.out.bam,Sy5Y,DMSO,Sy5Y-DMSO,TPM.Sy5Y.DMSO.2,Sy5Y.DMSO_2,Homo sapiens
Sy5Y-DMSO-3.Aligned.sortedByCoord.out.bam,Sy5Y,DMSO,Sy5Y-DMSO,TPM.Sy5Y.DMSO.3,Sy5Y.DMSO_3,Homo sapiens
Sy5Y-DMSO-4.Aligned.sortedByCoord.out.bam,Sy5Y,DMSO,Sy5Y-DMSO,TPM.Sy5Y.DMSO.4,Sy5Y.DMSO_4,Homo sapiens
