ensembl_gene_id	gene_id	V1	V4	V5	V7	baseMean	log2FoldChange	FoldChange	stat	pvalue	padj	NGN2_2197294_3x_3	NGN2_2197294_3x_2	NGN2_2197294_3x_1	NGN2_DMSO_2	NGN2_DMSO_3	NGN2_DMSO_1
ENSG00000088930.8	NA	NA	NA	NA	NA	13915.9422317686	-3.38335265802473	0.0958317378809856	-21.5872423779182	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000236722760982904	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042136651454957	1057	975	1063	10321	9112	11590
ENSG00000179889.19	NA	NA	NA	NA	NA	6505.72989756091	-2.45420645790918	0.182477885834413	-12.7648424787294	0.000000000000000000000000000000000000257671381324834	0.00000000000000000000000000000000229327529379102	1574	1205	1290	6736	6841	7736
ENSG00000197386.12	NA	NA	NA	NA	NA	10358.7257773362	-1.87537624243612	0.272555843681318	-11.0111635349384	0.000000000000000000000000000337615078031579	0.0000000000000000000000020031827963207	3790	3246	3514	11931	11867	13202
ENSG00000180957.18	NA	NA	NA	NA	NA	7576.32812277103	-2.01620144466032	0.247208208805689	-10.6425998303554	0.0000000000000000000000000188786906464715	0.000000000000000000000084010173376798	2364	2236	2515	9133	8029	10533
ENSG00000162687.18	NA	NA	NA	NA	NA	744.054800823861	-2.30143071257404	0.202861822372499	-10.6206336138753	0.0000000000000000000000000238933764613846	0.0000000000000000000000850604202025292	265	206	224	1094	999	1186
ENSG00000164754.15	NA	NA	NA	NA	NA	29080.5313858195	-0.520470139923189	0.697144613343336	-10.0371880894742	0.0000000000000000000000104613813086152	0.0000000000000000000310354312155583	15921	15100	15379	21313	19079	23432
ENSG00000113845.10	NA	NA	NA	NA	NA	4992.93573673795	0.41250854873222	1.33099813406926	9.55171412435657	0.00000000000000000000127567850561664	0.0000000000000000032438681999966	3797	4027	3715	2642	2509	3174
ENSG00000273820.2	NA	NA	NA	NA	NA	955.429871239136	-0.754619378721162	0.592702735572784	-9.39345755466972	0.00000000000000000000580622779894205	0.0000000000000000129188568526461	1392	1143	1163	1926	1833	2219
ENSG00000105202.9	NA	NA	NA	NA	NA	10806.7332406258	-1.02770622686214	0.490489369206225	-8.91346561558812	0.00000000000000000049461749797219	0.000000000000000978243495989442	774	696	721	1377	1233	1691
ENSG00000071794.16	NA	NA	NA	NA	NA	6912.94939809332	-0.958073953331972	0.514743655001162	-8.78860768718539	0.00000000000000000151424846986336	0.00000000000000269536227635678	4413	3711	3876	7429	6734	8170
