,dPSI_iPSC-4088-10x,dPSI_iPSC-4088-3x,dPSI_iPSC-4090-10x,dPSI_iPSC-4090-3x,dPSI_iPSC-4714-10x,dPSI_iPSC-4714-3x,dPSI_iPSC-4741-10x,dPSI_iPSC-4741-3x,dPSI_iPSC-4748-10x,dPSI_iPSC-4748-3x,dPSI_iPSC-5420-10x,dPSI_iPSC-5420-3x,dPSI_iPSC-6152-10x,dPSI_iPSC-6152-3x,dPSI_iPSC-6527-10x,dPSI_iPSC-6527-3x,dPSI_iPSC-6866-10x,dPSI_iPSC-6866-3x,dPSI_iPSC-6960-10x,dPSI_iPSC-6960-3x,dPSI_iPSC-9701-10x,dPSI_iPSC-9701-3x,dPSI_NGN2-4088-10x,dPSI_NGN2-4088-3x,dPSI_NGN2-4090-10x,dPSI_NGN2-4090-3x,dPSI_NGN2-4714-10x,dPSI_NGN2-4714-3x,dPSI_NGN2-4741-10x,dPSI_NGN2-4741-3x,dPSI_NGN2-4748-10x,dPSI_NGN2-4748-3x,dPSI_NGN2-5420-10x,dPSI_NGN2-5420-3x,dPSI_NGN2-6152-10x,dPSI_NGN2-6152-3x,dPSI_NGN2-6527-10x,dPSI_NGN2-6527-3x,dPSI_NGN2-6866-10x,dPSI_NGN2-6866-3x,dPSI_NGN2-6960-10x,dPSI_NGN2-6960-3x,dPSI_NGN2-9701-10x,dPSI_NGN2-9701-3x,minpadj_maxPdPSI_iPSC-4088-10x,minpadj_maxPdPSI_iPSC-4088-3x,minpadj_maxPdPSI_iPSC-4090-10x,minpadj_maxPdPSI_iPSC-4090-3x,minpadj_maxPdPSI_iPSC-4714-10x,minpadj_maxPdPSI_iPSC-4714-3x,minpadj_maxPdPSI_iPSC-4741-10x,minpadj_maxPdPSI_iPSC-4741-3x,minpadj_maxPdPSI_iPSC-4748-10x,minpadj_maxPdPSI_iPSC-4748-3x,minpadj_maxPdPSI_iPSC-5420-10x,minpadj_maxPdPSI_iPSC-5420-3x,minpadj_maxPdPSI_iPSC-6152-10x,minpadj_maxPdPSI_iPSC-6152-3x,minpadj_maxPdPSI_iPSC-6527-10x,minpadj_maxPdPSI_iPSC-6527-3x,minpadj_maxPdPSI_iPSC-6866-10x,minpadj_maxPdPSI_iPSC-6866-3x,minpadj_maxPdPSI_iPSC-6960-10x,minpadj_maxPdPSI_iPSC-6960-3x,minpadj_maxPdPSI_iPSC-9701-10x,minpadj_maxPdPSI_iPSC-9701-3x,minpadj_maxPdPSI_NGN2-4088-10x,minpadj_maxPdPSI_NGN2-4088-3x,minpadj_maxPdPSI_NGN2-4090-10x,minpadj_maxPdPSI_NGN2-4090-3x,minpadj_maxPdPSI_NGN2-4714-10x,minpadj_maxPdPSI_NGN2-4714-3x,minpadj_maxPdPSI_NGN2-4741-10x,minpadj_maxPdPSI_NGN2-4741-3x,minpadj_maxPdPSI_NGN2-4748-10x,minpadj_maxPdPSI_NGN2-4748-3x,minpadj_maxPdPSI_NGN2-5420-10x,minpadj_maxPdPSI_NGN2-5420-3x,minpadj_maxPdPSI_NGN2-6152-10x,minpadj_maxPdPSI_NGN2-6152-3x,minpadj_maxPdPSI_NGN2-6527-10x,minpadj_maxPdPSI_NGN2-6527-3x,minpadj_maxPdPSI_NGN2-6866-10x,minpadj_maxPdPSI_NGN2-6866-3x,minpadj_maxPdPSI_NGN2-6960-10x,minpadj_maxPdPSI_NGN2-6960-3x,minpadj_maxPdPSI_NGN2-9701-10x,minpadj_maxPdPSI_NGN2-9701-3x
ABCB8,0.745049655300523,0.494646657874468,0.534857240649356,NA,0.649085201257036,NA,0.70916320096109,NA,0.652704225168562,NA,-0.443727905516732,NA,0.519776951240037,NA,0.540966114245603,NA,0.745339744721164,0.536303956426213,0.55435223988302,NA,0.398283145963037,NA,-0.849,-0.524,-0.735,0.506209313584511,-0.82,-0.607,-0.801,0.537733585578864,-0.822,0.51765754827347,0.764872724906475,-0.446,-0.615,0.453573895783474,-0.698,0.444561503194778,-0.797,-0.548,-0.745,-0.422,-0.765,0.626133116059595,4.3134479135208e-05,0.000665615420173823,0.000304605431627237,NA,0.00017266707271024,NA,2.13020745027496e-05,NA,0.000802318401927136,NA,0.993191682380763,NA,5.74163250896089e-05,NA,0.000127690172254765,NA,0.000136075543365237,0.000291977183847007,0.000139629210671426,NA,0.0327904781022452,NA,0,0,0,1.20848193085533e-05,0,0,0,2.45392848566244e-06,0,7.12042547068733e-06,2.6707665028741e-06,0,0,1.50731173677778e-05,0,0.000147353505056163,0,0,0,0,0,5.65379268212642e-06
ABCC8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404643267882688,NA,NA,NA,-0.469928603534341,NA,0.577603469752454,NA,NA,NA,-0.404,0.445339710907673,NA,NA,NA,-0.404,0.468361166989496,NA,-0.417230352648243,NA,-0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.947169859196787,NA,NA,NA,0.99468492516378,NA,0.999964386718594,NA,NA,NA,0.000160710642355,0.93359334032552,NA,NA,NA,0.000312411217342,0.987836265632005,NA,0.954158902562795,NA,0.000225509195953,NA
ABCE1,NA,NA,NA,NA,-0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABHD10,NA,NA,NA,NA,NA,NA,-0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.276540598506821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00010704945167974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004540.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.80196577037e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC004980.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.453997009782856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934618843755414,NA
AC004997.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418964834064251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903718360831856,NA,NA,NA,NA
AC007614.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.373,-0.385,NA,NA,NA,-0.513,-0.384,NA,NA,NA,-0.418,NA,NA,NA,NA,-0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198296595032,0.0090366220752,NA,NA,NA,8.14391423434e-08,0.000137010351801,NA,NA,NA,0.000834986960575,NA,NA,NA,NA,0.0182798418758,NA
AC008581.2,0.361356869522961,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296785281661036,NA,NA,NA,NA,NA,-0.417896016769927,NA,NA,NA,NA,NA,0.4948910801408,NA,NA,NA,0.485103496480295,NA,NA,NA,0.288529026118368,NA,NA,NA,0.39761356305885,NA,NA,NA,0.337432975532458,NA,0.522729716756154,NA,NA,NA,9.82713544563087e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00589370715961119,NA,NA,NA,NA,NA,0.978696621267486,NA,NA,NA,NA,NA,0.000578670609828105,NA,NA,NA,0.00224844777940354,NA,NA,NA,0.00123357640925682,NA,NA,NA,8.19625273385812e-06,NA,NA,NA,0.030078390805397,NA,3.06026618201269e-07,NA,NA,NA
AC009022.1,0.870979976327251,NA,0.481420023050938,NA,0.923850662743929,0.403534495150844,0.981927701496271,0.665285263316869,0.87162857120598,NA,0.747558740426769,NA,0.749804444075664,NA,0.724570641463041,NA,NA,0.558125988892819,NA,NA,0.653464914134216,NA,0.904107553067634,0.803937365959906,0.89580741546899,0.754741069862738,0.933761415221842,0.884331773955042,0.933754615705187,0.922387927732302,0.900348674886039,0.814461100486324,0.920250104495729,0.758338969116793,0.881782364882515,0.734158043222878,0.921853255785035,0.845738893076038,0.934261058216331,0.800889357009951,0.911328096502865,0.784182164897101,0.913804609182256,0.748635199605497,0.000300877847530007,NA,0.995916220484706,NA,0.0010636823392205,0.953984314837617,0.00779824562209696,0.00167168756724104,0.000546546031823492,NA,0.00147809054540428,NA,0.000358615738248446,NA,0.00484797121548442,NA,NA,0.00938638912294592,NA,NA,0.0324738621054026,NA,3.82158194522802e-06,4.58722022673574e-06,8.91779207635429e-06,1.9736496759814e-05,9.89734955166764e-07,2.94405894897474e-05,1.81618709446354e-07,1.03798847890344e-05,1.03070383039467e-05,2.10064671138046e-06,3.41471354367391e-05,0.000201584466716282,5.61385850927539e-07,5.95996865310166e-06,2.93222664513978e-05,2.86446338105792e-06,2.94331753402462e-06,5.33045429062706e-06,5.84655631797492e-07,2.78171519019166e-05,8.10337717728618e-05,0.000296767274102705
