,Branaplam_01x,Branaplam_03x,Branaplam_10x,Risdiplam_01x,Risdiplam_03x,Risdiplam_10x
ABCB8,1,1,1,0,0,0
ABHD10,0,0,0,0,0,1
ADAM12,0,1,1,0,0,0
ADAM17,0,1,0,0,0,0
ADARB1,0,1,0,0,0,0
ADGRA3,0,0,0,0,0,1
AMT,0,1,0,0,0,0
ANAPC1,0,1,0,0,0,0
ANKRD13D,1,1,1,0,0,0
ANKS3,1,1,1,0,0,0
ANXA11,0,1,1,0,0,0
APIP,0,0,0,0,0,1
APLP2,1,1,1,0,1,1
APPL2,1,1,1,0,0,1
ARHGAP1,0,1,1,0,0,0
ARHGAP5,0,1,1,0,0,0
ARL15,0,0,1,0,0,0
ARMCX6,0,1,1,0,0,0
ASAP1,1,1,1,0,0,1
ASCC3,0,1,1,0,0,1
ATF6,0,1,1,0,0,0
ATG5,0,0,1,0,0,0
AXIN1,1,1,1,0,0,1
BCAS3,0,1,0,0,0,0
BECN1,1,1,1,0,0,0
BIN3,0,1,0,0,0,0
BPHL,1,0,0,1,0,0
BTBD10,0,1,1,0,0,0
C10orf76,0,0,1,0,0,0
C11orf73,0,0,0,0,0,1
C14orf132,0,1,1,0,0,0
CACNA2D1,1,1,1,0,0,0
CACNB1,0,1,1,0,0,0
CASP7,0,0,0,0,0,1
CDC25B,0,0,1,0,0,0
CECR7,0,1,0,0,1,1
CEP57,0,1,0,0,0,0
CFAP70,0,0,0,0,0,1
CHD9,1,0,1,0,0,0
CNOT1,0,1,1,0,0,0
CNTN3,0,0,1,0,0,0
COPS7B,1,1,1,0,0,1
CRYBG3,0,1,0,0,0,0
CSF1,0,1,0,0,0,0
CTNS,1,1,1,0,0,1
CYB5B,0,1,1,0,0,0
D2HGDH,0,0,1,0,0,0
DCAF17,0,1,0,0,0,0
DCUN1D4,0,0,0,0,0,1
DDX42,1,1,1,0,0,1
DENND5A,0,0,0,0,0,1
DGKA,0,1,1,0,0,1
DLG5,0,1,1,0,0,0
DLGAP4,1,1,1,0,0,0
DNTTIP1,0,1,1,0,0,0
DPH1,0,1,1,0,0,1
DPY30,0,1,1,0,0,0
DYRK1A,0,1,0,0,0,0
ELMO2,1,1,1,0,0,1
