Sample Name,Cell_Line,Treatment,Group,Details,Sample_Summary,Organism
iPSC_4088_10x_1,iPSC,iPSC_2184088,iPSC_2184088_10x,iPSC_2184088_10x_1,iPSC_2184088_10x_1,Homo sapiens
iPSC_4088_10x_2,iPSC,iPSC_2184088,iPSC_2184088_10x,iPSC_2184088_10x_2,iPSC_2184088_10x_2,Homo sapiens
iPSC_4088_10x_3,iPSC,iPSC_2184088,iPSC_2184088_10x,iPSC_2184088_10x_3,iPSC_2184088_10x_3,Homo sapiens
iPSC_4088_3x_1,iPSC,iPSC_2184088,iPSC_2184088_3x,iPSC_2184088_3x_1,iPSC_2184088_3x_1,Homo sapiens
iPSC_4088_3x_2,iPSC,iPSC_2184088,iPSC_2184088_3x,iPSC_2184088_3x_2,iPSC_2184088_3x_2,Homo sapiens
iPSC_4088_3x_3,iPSC,iPSC_2184088,iPSC_2184088_3x,iPSC_2184088_3x_3,iPSC_2184088_3x_3,Homo sapiens
iPSC_4090_10x_1,iPSC,iPSC_2184090,iPSC_2184090_10x,iPSC_2184090_10x_1,iPSC_2184090_10x_1,Homo sapiens
iPSC_4090_10x_2,iPSC,iPSC_2184090,iPSC_2184090_10x,iPSC_2184090_10x_2,iPSC_2184090_10x_2,Homo sapiens
iPSC_4090_10x_3,iPSC,iPSC_2184090,iPSC_2184090_10x,iPSC_2184090_10x_3,iPSC_2184090_10x_3,Homo sapiens
iPSC_4090_3x_1,iPSC,iPSC_2184090,iPSC_2184090_3x,iPSC_2184090_3x_1,iPSC_2184090_3x_1,Homo sapiens
iPSC_4090_3x_2,iPSC,iPSC_2184090,iPSC_2184090_3x,iPSC_2184090_3x_2,iPSC_2184090_3x_2,Homo sapiens
iPSC_4090_3x_3,iPSC,iPSC_2184090,iPSC_2184090_3x,iPSC_2184090_3x_3,iPSC_2184090_3x_3,Homo sapiens
iPSC_4714_10x_1,iPSC,iPSC_2174714,iPSC_2174714_10x,iPSC_2174714_10x_1,iPSC_2174714_10x_1,Homo sapiens
iPSC_4714_10x_2,iPSC,iPSC_2174714,iPSC_2174714_10x,iPSC_2174714_10x_2,iPSC_2174714_10x_2,Homo sapiens
iPSC_4714_10x_3,iPSC,iPSC_2174714,iPSC_2174714_10x,iPSC_2174714_10x_3,iPSC_2174714_10x_3,Homo sapiens
iPSC_4714_3x_1,iPSC,iPSC_2174714,iPSC_2174714_3x,iPSC_2174714_3x_1,iPSC_2174714_3x_1,Homo sapiens
iPSC_4714_3x_2,iPSC,iPSC_2174714,iPSC_2174714_3x,iPSC_2174714_3x_2,iPSC_2174714_3x_2,Homo sapiens
iPSC_4714_3x_3,iPSC,iPSC_2174714,iPSC_2174714_3x,iPSC_2174714_3x_3,iPSC_2174714_3x_3,Homo sapiens
iPSC_4741_10x_1,iPSC,iPSC_2184741,iPSC_2184741_10x,iPSC_2184741_10x_1,iPSC_2184741_10x_1,Homo sapiens
iPSC_4741_10x_2,iPSC,iPSC_2184741,iPSC_2184741_10x,iPSC_2184741_10x_2,iPSC_2184741_10x_2,Homo sapiens
iPSC_4741_10x_3,iPSC,iPSC_2184741,iPSC_2184741_10x,iPSC_2184741_10x_3,iPSC_2184741_10x_3,Homo sapiens
iPSC_4741_3x_1,iPSC,iPSC_2184741,iPSC_2184741_3x,iPSC_2184741_3x_1,iPSC_2184741_3x_1,Homo sapiens
iPSC_4741_3x_2,iPSC,iPSC_2184741,iPSC_2184741_3x,iPSC_2184741_3x_2,iPSC_2184741_3x_2,Homo sapiens
iPSC_4741_3x_3,iPSC,iPSC_2184741,iPSC_2184741_3x,iPSC_2184741_3x_3,iPSC_2184741_3x_3,Homo sapiens
