,dPSI_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH
AADAT,-0.390148641089962
ABCB9,0.289102398248151
AC009022.1,-0.2654905244609
AC009053.2,0.28803477861596
AC009533.1,0.36422052757939
AC138649.1,-0.391667764467591
AC233699.1,0.273356300417897
AC233968.1,0.446899757786911
AC241952.2,0.538046234175847
ACAD10,0.30143105086098
ACAD11,-0.380531000542235
ACIN1,0.256332554807407
ACOT2,0.301293453034627
ACOT8,0.352465294786572
ACSS3,-0.43083502669663
ACTR3B,-0.298530886551505
ADAM11,0.375689994689064
ADAM17,0.268497573842534
ADAMTS19,-0.32153949494304
ADPRM,0.474605760485103
AGO3,-0.298092541507432
AGPAT3,0.253459074446283
AGPAT4,0.261427979200397
AKAP10,0.272094389666262
AKAP17A,-0.29878946171765
AKAP8,-0.271520663788108
AKAP8L,0.289507427294664
AL669831.1,0.278188562545945
AMHR2,0.251639141852912
ANAPC10,0.256937817360928
ANKHD1,-0.300188178123381
ANKIB1,-0.308945877878923
ANKLE2,-0.256020250285788
ANKRA2,-0.316109449842966
ANKRD36C,0.26702968557885
APBB3,0.427000667602823
ARNTL,-0.297738871513261
ARSG,0.314642361868914
ARSK,-0.380406020203657
ASTE1,-0.277510356233889
ATAD2B,0.254789811001386
ATF2,-0.450762412534733
ATP13A1,0.361723318343113
ATP9B,0.26313711714118
ATRX,-0.409862098572536
AUH,-0.281323349465478
AXIN2,0.342771133930344
B4GALT4,0.378064635234973
BCLAF1,-0.282710250344176
BCLAF3,-0.253461441306666
BMS1P4,-0.259305555773832
BRD2,-0.302281760943882
BRD4,-0.285764171073778
BTN2A1,-0.276353494625797
C20orf194,-0.277929507809083
C5orf22,-0.339008051931484
C6orf136,0.409586936941322
C6orf52,-0.251444458649743
CACNB4,-0.292674582294119
CAPN10,0.263145177919156
CASP2,-0.466783319847684
CBARP,0.259323223030021
CBFA2T2,-0.271620862847138
CBWD2,-0.297106276301523
CBWD3,-0.314690122008252
CBWD5,-0.371341467057767
CCDC173,0.339010485551256
CCDC57,0.299028959258876
CCDC84,-0.29308745681859
CCNL1,-0.312439332416581
CCNL2,-0.284336639881092
CCNT2,0.278560103340144
CDH24,0.276904362144832
CDHR1,0.313119965460972
CDK10,0.264964501087137
CDK11A,0.28944889569906
CDKN2AIP,0.353860069489066
CENPJ,-0.332684625881255
CEP162,-0.271576578546415
CEP250,-0.324320171734523
CEP76,0.273184628350748
CEP89,-0.377801123297893
CEPT1,-0.4700403539746
CFDP1,0.380292886645594
CHN1,-0.426336287373578
CIC,0.346200773211537
CIRBP,-0.319195924361839
CLASRP,0.371347201414278
CLBA1,-0.41739999649417
CLCN6,0.419352877478642
CLK1,0.522192372133
CLK4,0.258949646432345
CNTLN,-0.285596524988677
CNTNAP3B,-0.326300323495918
COX11,-0.272800121911068
CPLANE1,-0.266382351797257
CRACR2B,0.25551887295493
CREB1,-0.252172954182001
CRYBG2,0.345030558890611
CTTNBP2,0.258620340030198
CU633904.2,0.265736951399114
CU634019.2,0.257843092832888
CUL5,-0.274336457763832
CUL7,0.313871025478378
CXXC4,0.275592474135154
CYB5R4,-0.277237846747492
CYHR1,-0.273310744120183
CYTH1,0.476396874186793
DAGLA,-0.250547949565875
DBT,-0.269243932843193
DCAF17,0.303308476955577
DCAF8,-0.439472855597988
DCAKD,-0.310629741847322
DCLK2,-0.351334819755172
DDX19A,-0.283809228371369
DECR2,-0.499286115582343
DELE1,0.270294254850631
DENND1B,-0.357312205798849
DGLUCY,-0.255407179674065
DHRS1,0.377945508864415
DHX34,-0.361011893645917
DHX9,0.276823448130762
DNAJC2,-0.2840210994446
DNAJC25,0.299764523328166
DNAJC6,-0.278566860019518
DOCK3,-0.255534875466751
DPY19L1P2,-0.258038089828343
DPY30,0.377663599737956
DRAM2,0.271323008697895
DUSP12,0.332144839575014
EDRF1,-0.446351369275666
EEA1,-0.373805339697956
EFL1,-0.349555890384434
EIF4A2,-0.416620699829777
ELMOD3,0.27198909274252
EMC9,0.374336475698864
EPC1,-0.283609937436127
EPC2,0.267770066655126
EPM2A,0.300886581235566
ERCC6L2,-0.317564876236056
ERMARD,0.272649408385448
ETNK1,-0.425767078656312
EVC,-0.385210271850398
EYA3,0.281510727902729
FAM13A,-0.255176705243269
FAM149B1,-0.34431236663044
FAM184A,-0.27876829700126
FAM214A,0.286028522262593
FAM76B,-0.261363631598169
FAM92A,0.548041506617751
FANCB,-0.365400283375984
FBF1,0.488072529233458
FBXL18,0.382472501012159
FCSK,-0.254294906799843
FDXR,0.294817369851514
FGFR3,0.272380603531171
FKBP11,0.256182228456376
FNBP4,-0.299354031119455
FNTB,-0.386356204222867
FRRS1,-0.278699393325498
FUBP3,-0.309016325412985
FZR1,0.282722985869481
GALK2,-0.254835829683612
GARNL3,0.497523933378484
GAS8,-0.2633045173654
GDAP1,0.376791473029881
GKAP1,-0.285085654664494
GLB1L,0.250695851771831
GLS,-0.330922234136774
GNPDA2,-0.366173676681496
GOLGA2P10,0.258771469087261
GON4L,0.250892392781766
GORAB,0.424899165774685
GPATCH2,0.299451482179047
GPATCH2L,-0.253730968046674
GPC2,0.540826865684747
GPR89A,0.298751809993948
GPR89B,0.30699546459645
GRB14,-0.391535684491118
GUSBP1,0.321939170088175
H2BC5,-0.386163095946637
HACE1,-0.290623840617988
HCFC2,-0.324494897627015
HECTD1,-0.288487924491639
HERC2P2,-0.278847490691809
HERC2P3,0.314634068277961
HINFP,-0.258772627002967
HNRNPLL,-0.292703121629393
HOOK1,-0.323470175917383
HRAS,-0.274024991174102
IDE,-0.259883678071688
IFFO1,-0.427337211660135
IGHMBP2,-0.272746804871127
IMPACT,0.432605242393225
IMPAD1,-0.250382820787766
INPP1,-0.251165827565047
INPP5J,-0.282644100092182
IVNS1ABP,0.282032181548256
JAK2,0.331821180165231
KANSL2,-0.270826114248045
KCNT2,0.351281072268108
KDM3A,-0.387827603347702
KHDC4,-0.276616680142761
KIAA1109,0.32923202548601
KLHL17,0.28679469027236
KLHL2,-0.252550844845158
KLHL36,0.274707944925546
KLHL42,-0.343541592765642
KPNA5,0.29111156289076
L3HYPDH,0.253503948375077
LEPR,0.356998621699707
LRCH2,-0.252102984731807
LRIG2,0.326765158244028
LRP4,0.374528945999071
LRRC27,0.259818675973574
LRRC37A2,0.290967032466114
LRRC75B,-0.284190418988842
LTN1,-0.390898594599994
LUC7L2,-0.288397944938108
MAK,0.271042155891479
MAN2A1,-0.341502063071134
MAN2A2,0.342236577372793
MAN2C1,-0.280661407716386
MANBA,-0.382978125151494
MAP3K15,-0.389486976408719
MAP4K5,-0.261739274698319
MAST1,-0.314954800571137
MBTD1,-0.287846774907256
MCEE,0.380075405340047
MCOLN3,-0.35510606352093
METTL22,0.481246590213853
MFSD14C,-0.296924262209249
MGAT5B,0.301322930910684
MIA3,-0.298185990052469
MICA,-0.358449454775225
MITD1,-0.322934872236383
MMS22L,-0.27531987859061
MNT,0.296108118737608
MOV10,-0.263977981454046
MRPS6,0.315626884365692
MSH5,0.348506518803351
MTAP,-0.288823949070355
MUS81,0.281196930502145
MUTYH,0.326377880992423
MYL5,-0.302380553597053
MYO1D,0.468331699257696
NAA16,0.258518911716921
NAA25,0.282024854458489
NAF1,-0.264996432783894
NAT1,0.315408343159999
NBPF12,0.259397621145789
NCBP3,-0.268277811746789
NCOA6,-0.257553054129101
NCOA7,-0.340306475551694
NDUFAF2,0.522440837456529
NDUFV3,-0.296265063003232
NEDD1,-0.260497486769922
NFAT5,-0.277092258436574
NINL,0.250475172067101
NIPSNAP3B,-0.278558261066436
NKTR,0.283089754362968
NOD1,0.39383188204857
NOL4,-0.268529713338671
NOM1,-0.320063702594189
NPHP3,0.28192634223176
NR2C2,-0.261136430432862
NSUN5P1,-0.267660659031739
NT5C3A,-0.255550214518419
NUDCD3,-0.259255907931174
NUDT16L1,0.43316802482773
NUDT2,-0.259152062347915
ODR4,-0.394708266843189
OLA1,0.351050555067938
ORC1,-0.293944440196854
OSGEP,-0.362746189386721
OTUD3,0.357459596813911
PACSIN2,0.322578964071345
PAN3,-0.279775743827404
PANK2,0.282614862456105
PANK4,0.537839069579209
PARG,-0.376347034357405
PARGP1,0.379442453357413
PARL,-0.285070422856685
PARP4,-0.39350615935452
PATL1,-0.471733255976161
PAXBP1,0.505843731579843
PBLD,0.252331186295636
PC,0.258494572843099
PCCA,-0.387786545505789
PCIF1,-0.343574781012369
PCMTD1,-0.339884583186753
PCOLCE,0.323642967634348
PCSK5,0.375800553940329
PDCD6IPP2,0.416932528729509
PDE5A,0.281063825003096
PDSS1,0.366804553678107
PGAP3,0.273880047820698
PHIP,-0.336572239452112
PIAS3,0.278117623397333
PIDD1,0.331917544190243
PIEZO1,-0.281387231252111
PIF1,0.252068563834433
PIGU,-0.27426194624487
PIP4P2,-0.370213117957278
PKD2,-0.263567521078537
PLCB4,0.26049192209937
PLEKHA4,-0.404780641685333
PM20D2,-0.261909855775193
PMS2P3,0.300546226856983
POGLUT1,-0.361468380088181
POLG,-0.43678755482711
POLQ,0.26178903879833
POLR2J4,0.285942558250952
POMT2,-0.309183797059677
PPCS,0.467266895675906
PPIEL,0.2752990510375
PPP1R26,0.273253595209054
PPP3CC,0.321286311661167
PPP4R1,-0.25732643771195
PPP4R3A,-0.384141773014858
PRKAB1,-0.265784941979537
PRKRA,-0.467580394141681
PRMT9,0.341424910647916
PRPF38B,-0.398926776514019
PRPF39,-0.274408361239
PRRC2B,-0.253328554685754
PTBP2,0.627067322521633
PTP4A2,0.869168023787916
PTPN21,0.263759962325716
PTRH2,-0.305068271844579
QRFPR,0.283669101100217
QSOX2,0.287528426400775
RAB5A,-0.298249831400715
RABGAP1,-0.375882160936051
RABGAP1L,-0.301170189681097
RAD54B,-0.310949957560554
RAPGEF6,-0.327624378939952
RBM39,-0.257028239117148
RBM8A,0.339241367726929
RBMX,0.262915750252514
RCBTB2,0.545849575301044
RELCH,-0.413249726486757
RHBDD2,0.298704685271406
RHOT1,-0.253504575705978
RIC8B,-0.276699606388943
RIMKLB,0.365193278985887
RIOK3,0.373258683772144
RMND5B,0.337846487708496
RPS6KA4,0.279574831899894
RRAGB,-0.487827965092782
RRN3P1,0.264192425155315
RRP7BP,0.259132615655701
RSRC2,-0.413048852181259
RSRP1,0.342645361394766
RTTN,0.330383901684868
RUNX1T1,-0.263305503146201
S100PBP,-0.28771631985418
SAAL1,-0.271097407858463
SAP30L,-0.27027639469648
SBDSP1,-0.29881705675704
SCAND2P,0.402441156676146
SCMH1,-0.311734784202434
SDCCAG8,-0.282545595863966
SDHAP3,-0.551294667261595
SEC61A2,0.250586092592835
SELENOO,-0.264502558556182
SEMA6C,-0.473562584713878
SENP7,-0.325117111099371
SF3A1,0.411087094779763
SF3B3,-0.341016559919179
SFMBT2,0.323242294000817
SFPQ,0.254683586374034
SIAE,-0.356107757477642
SLC15A4,0.300756044214394
SLC1A3,-0.279140707726233
SLC20A2,0.282476961912704
SLC25A25,-0.289244388410915
SLC25A27,0.281673126163026
SLC25A40,-0.252398055582699
SLC25A43,0.281506246992851
SLC35F5,-0.266964558942242
SLC36A4,-0.460429127021467
SLC38A6,-0.345096069436855
SLC4A7,0.272767140192089
SLC6A6,0.307729891384263
SLC7A6,-0.395099972831582
SLC7A6OS,0.463297033065245
SLF1,0.301616499309207
SLITRK3,0.337112228218368
SLX1A.SULT1A3,0.368789046576892
SLX1B,0.377122058976991
SMARCD3,-0.318300970358122
SMC6,-0.255252858335722
SMG1P6,-0.276158308180786
SMG8,-0.250060160498156
SMNDC1,-0.253045999621722
SMPD2,0.301174557245601
SNHG17,-0.258210613764893
SNHG20,0.26001559094248
SNRNP48,0.298067931284624
SPATA5L1,0.277612012099029
SPIN2B,0.26157279946917
SPIRE2,-0.250216073391331
SRD5A1,-0.262062879384076
SREK1,-0.345478880309354
SRSF4,-0.421945870975536
SRSF6,0.251291146732001
SRSF7,-0.253124608920658
SSR1,0.338913634825491
STAG3L4,-0.281677826746131
STARD5,0.285509215442949
STARD9,0.330533578210309
STK16,0.265417782075077
STK17B,-0.277808282585971
SUGP2,-0.259207458017885
SUPT3H,-0.301513508525408
SUZ12P1,0.347671242576686
TAF1,-0.348582898866118
TAMM41,-0.27972044539545
TARBP1,-0.283427468266979
TARS3,-0.358363145726645
TBC1D23,-0.293415379354496
TBC1D8B,-0.266642965086591
TBCK,0.341352666393411
TBK1,-0.25446432635257
TCERG1,-0.319533565176143
TCF25,-0.329821050928907
TEDC1,0.287115278880042
TERT,0.265348220381158
THUMPD2,-0.454349650123829
TMEM120A,0.250109423691014
TMEM128,0.283833123202057
TMEM222,-0.4235978047096
TMEM237,-0.297402016992043
TMEM39B,-0.32060716923814
TOE1,0.335980759354737
TOGARAM1,-0.27954368817408
TOMM20,-0.270681267993029
