,HTT,SMN1,SMN2
dPSI_SH_BIO_1949634_10x_vs_SH_DMSO,NA,-0.25266515179735,-0.397334840174332
dPSI_SH_BIO_1949634_03x_vs_SH_DMSO,NA,NA,-0.335767541192112
dPSI_SH_BIO_2178782_10x_vs_SH_DMSO,0.581818293761333,0.3746,-0.371854891694941
dPSI_SH_BIO_2178782_03x_vs_SH_DMSO,-0.376879590871946,0.4252,-0.377407360926577
dPSI_SH_BIO_2196772_10x_vs_SH_DMSO,0.842937548123495,-0.25526998109586,-0.396977900344189
dPSI_SH_BIO_2196772_03x_vs_SH_DMSO,0.270774169811263,0.3761,-0.357513711927997
dPSI_SH_BIO_2196895_10x_vs_SH_DMSO,-0.312554415204491,0.4767,-0.390128104431597
dPSI_SH_BIO_2196895_03x_vs_SH_DMSO,NA,NA,-0.286583739281283
dPSI_SH_BIO_2197306_10x_vs_SH_DMSO,0.382827956152059,0.4767,-0.388840283893252
dPSI_SH_BIO_2197306_03x_vs_SH_DMSO,NA,NA,-0.310889109524264
dPSI_SH_BIO_2199562_10x_vs_SH_DMSO,0.472173370224075,0.3791,-0.360608812131302
dPSI_SH_BIO_2199562_03x_vs_SH_DMSO,0.282557601513784,NA,-0.323093638039036
dPSI_SH_BIO_2204984_10x_vs_SH_DMSO,-0.359006721581004,0.3925,-0.359440273701097
dPSI_SH_BIO_2204984_03x_vs_SH_DMSO,NA,NA,NA
dPSI_SH_BIO_2207180_10x_vs_SH_DMSO,NA,NA,-0.267357241643604
dPSI_SH_BIO_2207180_03x_vs_SH_DMSO,NA,NA,NA
