TST_ID	Plate_Name	Well	Well_Row	Well_Column	Sample_Name	Sample_Type	Sample_Process	Concentration	Volume	RIN	Annotated_By	Organism	Organ	Tissue	Cell_Type	Cell_Line	Gender	Disease	Race	Ethnicity	Treatment	Timepoint	Genotype	Age	Index_ID	Index_Tag	Index_ID2	Index_Tag2	Status	Status_Time	Notes	Sapio_Profile	Sapio_Submission_ID	Sapio_Request_ID	Sapio_Request_Name	Sapio_Plate_ID	Sapio_Plate_Name	Sapio_Sample_ID	Sapio_IndexBarcode	Sapio_URL	ID
TST12086	Plate2	A2	A	2	iPSC-BIO-1755497-10x-1	RNA	ELN Illumina RNA Sequencing	197.6	14	7.53		Homo sapiens									iPSC_1755497_10x									12/19/22 14:55		Biogen_Production	400	1913363	REQ100368	1913365	BRP100563	1913445		https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913445;view=dataRecord	32277
TST12086	Plate2	H3	H	3	iPSC-BIO-1755497-10x-2	RNA	ELN Illumina RNA Sequencing	50.78	14	9.4		Homo sapiens									iPSC_1755497_10x									12/19/22 14:55		Biogen_Production	400	1913363	REQ100368	1913365	BRP100563	1913460		https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913460;view=dataRecord	32292
TST12086	Plate2	G5	G	5	iPSC-BIO-1755497-10x-3	RNA	ELN Illumina RNA Sequencing	151.4	14	9.84		Homo sapiens									iPSC_1755497_10x									12/19/22 14:55		Biogen_Production	400	1913363	REQ100368	1913365	BRP100563	1913475		https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913475;view=dataRecord	32307
TST12086	Plate2	F7	F	7	iPSC-BIO-1755497-10x-4	RNA	ELN Illumina RNA Sequencing	129.1	14	9.57		Homo sapiens									iPSC_1755497_10x									12/19/22 14:55		Biogen_Production	400	1913363	REQ100368	1913365	BRP100563	1913490		https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913490;view=dataRecord	32322
TST12086	Plate1	A9	A	9	iPSC-BIO-1755497-10x-bridge-a	RNA	ELN Illumina RNA Sequencing	126.55	7	9.58		Homo sapiens									iPSC_1755497_10x_bridge									12/19/22 14:55		Biogen_Production	400	1913363	REQ100368	1913364	BRP100562	1913431		https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913431;view=dataRecord	32263
TST12086	Plate2	A9	A	9	iPSC-BIO-1755497-10x-bridge-b	RNA	ELN Illumina RNA Sequencing	126.55	7	9.58		Homo sapiens									iPSC_1755497_10x_bridge									12/19/22 14:55		Biogen_Production	400	1913363	REQ100368	1913365	BRP100563	1913501		https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913501;view=dataRecord	32333
TST12086	Plate3	A9	A	9	iPSC-BIO-1755497-10x-bridge-c	RNA	ELN Illumina RNA Sequencing	126.55	7	9.58		Homo sapiens									iPSC_1755497_10x_bridge									12/19/22 14:55		Biogen_Production	400	1913363	REQ100368	1913366	BRP100564	1913571		https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913571;view=dataRecord	32403
TST12086	Plate2	A3	A	3	iPSC-BIO-1755497-3x-2	RNA	ELN Illumina RNA Sequencing	70.43	14	8.54		Homo sapiens									iPSC_1755497_3x									12/19/22 14:55		Biogen_Production	400	1913363	REQ100368	1913365	BRP100563	1913453		https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913453;view=dataRecord	32285
TST12086	Plate2	H4	H	4	iPSC-BIO-1755497-3x-3	RNA	ELN Illumina RNA Sequencing	175.1	14	10		Homo sapiens									iPSC_1755497_3x									12/19/22 14:55		Biogen_Production	400	1913363	REQ100368	1913365	BRP100563	1913468		https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913468;view=dataRecord	32300
TST12086	Plate2	G6	G	6	iPSC-BIO-1755497-3x-4	RNA	ELN Illumina RNA Sequencing	137.9	14	9.81		Homo sapiens									iPSC_1755497_3x									12/19/22 14:55		Biogen_Production	400	1913363	REQ100368	1913365	BRP100563	1913483		https://ngslims.biogen.com:8443/veloxClient/VeloxClient.html?app=5ad60a2e-9555-4011-95e8-8e7923ec0cdc#dataType=Sample;group=2;parentdataType=Plate;recordId=1913483;view=dataRecord	32315
