,dPSI_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH
AADAT,-0.3944434772911
ABCG2,0.291971530401728
ABHD11,-0.270799139489273
AC004803.1,0.29300158771537
AC009053.2,0.339726331684647
AC009533.1,0.319865994759567
AC015813.2,0.58146978942013
AC069277.1,-0.294742765257443
AC105383.1,-0.360910173532719
AC127502.1,-0.299780899887546
AC133644.2,0.299126197472593
AC138649.1,-0.399411649260563
AC233968.1,0.327404418092003
AC241952.2,0.388026301752078
ACAD10,0.254215793989323
ACAD11,-0.309525139879915
ACBD6,-0.434209844567443
ACOT8,0.318846901188706
ACSS3,-0.351362505284472
ACTR3B,-0.297449319751535
ADAM11,0.312076803687288
ADAM15,-0.310641504682392
ADAM17,0.257116364054533
ADAMTS19,0.315133336142445
ADPRM,0.523564027242005
AGAP12P,-0.305825587497519
AGO3,-0.38766278315833
AGPAT4,0.272341641208584
AHI1,-0.261086687417367
AKAP10,0.32881074329447
AKAP8,-0.263457759780192
AKAP8L,0.276536492242715
AL009179.1,0.281096566725602
AL096711.2,0.321956382138606
ALG13,-0.332061248772663
ANKLE2,-0.269352381176877
ANKRA2,-0.254371209497018
AP002495.1,-0.290851619640053
AP1G2,0.252707951167471
AP3B2,0.441286225866755
ARFIP2,-0.372902446711791
ARHGAP33,0.626880896995038
ARSK,-0.433520299870723
ASTE1,-0.303224371158846
ATAD2B,-0.342230307311488
ATF2,-0.375039265898559
ATP13A1,0.327249661992182
ATRX,-0.354116369749089
AUH,-0.266310044119167
AXIN2,0.263778846841902
BAHCC1,0.333156566373732
BCLAF1,-0.373168633473659
BCLAF3,-0.316821226456735
BMS1P15,0.280925297216743
BRD2,-0.282788860724248
C20orf194,-0.268381029326206
C21orf58,0.288825383140837
C3orf33,-0.261603521089076
C5orf22,-0.27539586617069
C6orf136,0.324043120007449
CA13,-0.296910691167244
CACTIN,0.263474928498338
CAMTA2,0.285189561656212
CASP2,-0.424244552936297
CBWD2,-0.317213674081975
CBWD3,-0.307671229577142
CBWD5,-0.343988493222244
CCDC162P,-0.278145625664118
CCDC84,0.369034437156432
CCNL1,-0.325287983148567
CCNL2,-0.278748256569322
CDAN1,0.342383156657546
CDK11A,0.324511389914322
CDKN2AIP,0.273924024363358
CEP250,-0.288037465825418
CEP76,0.269909457970569
CEP89,-0.400347708544376
CHN1,-0.428737426251725
CIC,0.257191560762506
CLCN6,0.386159096174627
CLK1,0.506725688123188
CLK4,-0.27510913011463
CNTNAP3P2,0.277524118071899
COX11,-0.291506193929164
CPLANE1,-0.323614372726553
CRELD1,0.26848765672232
CTDSPL2,-0.304318293293144
CU633904.2,0.256718838355676
CUL7,0.325164262643442
CYP4F26P,0.294135194343484
DBT,-0.258647240611418
DCAF8,-0.394866720654079
DCLK2,-0.340878156621977
DDX19A,-0.253761382176801
DECR2,-0.516139995097826
DGLUCY,0.259697392568235
DHRS12,-0.259009548744466
DHX34,-0.260822851019545
DHX9,-0.47775368777962
DISP1,0.250879997002182
DNAJC2,-0.33168938160026
DNAJC25,0.3030143433699
DNAJC27,-0.383199543115226
DNAJC6,-0.323064309952029
DNMT3A,-0.259402858903827
DPY19L1P2,-0.278082069716788
DUSP12,0.273287931229913
DXO,0.373962739870718
DYNC2H1,-0.259777028416095
DZIP1L,0.278168581074862
EDRF1,-0.392966933481883
EEA1,-0.345320395391008
EFL1,-0.284599963795687
EIF4A2,-0.376422208150965
EIF4H,0.267899688694396
ELMOD1,0.250537264265807
ELMOD3,-0.43598854283849
EMC9,0.358199098501652
ENTPD4,-0.277595194076387
EPC1,-0.294128909490475
ERCC6L2,-0.288625823259997
ERMARD,0.295656115973712
ETNK1,-0.351392687707255
EVC,0.272546938309526
EYA3,0.257398457569061
EZH2,-0.254336145768066
FAM120C,0.254053362660184
FAM13A,-0.298778682111912
FAM149B1,-0.325925932652759
FAM151B,0.270616709842131
FAM174C,-0.276701235010191
FAM214A,0.250373370307803
FAM92A,-0.250111704509513
FANCB,-0.34895317794267
FAT1,0.315282407157691
FCHSD1,-0.29506456858022
FDXR,0.335337446368578
FLVCR1,-0.276512992928227
FMN2,-0.303088928367323
FMNL2,-0.296324325304799
FNBP4,-0.4437158310827
FNTB,-0.311405636465234
FRRS1,-0.297093419717287
GAD1,-0.251261543288195
GALK2,-0.277939102392409
GALNT3,0.422516828737101
GARNL3,-0.290116059954271
GKAP1,-0.267142937829706
GLS,-0.31522847757788
GORAB,0.375143743012402
GPATCH2,0.268124880418204
GPATCH2L,-0.293453140948976
GPC2,0.52077240694169
GPR89A,0.25271835316795
GPR89B,-0.311237468302532
GUSBP1,0.277884596647723
H2BC5,-0.374752497098728
HCFC2,-0.31075765844651
HECTD2,0.341284150910231
HERC2P9,-0.260877957120934
HEXD,-0.251031825936886
HLA.E,0.253654003547192
