Row.names,dPSI_BIO2195127_CHX_vs_DMSO_CHX.x,dPSI_BIO2197294_CHX_vs_DMSO_CHX.x,dPSI_Branaplam_CHX_vs_DMSO_CHX.x,dPSI_U1_mut2_100_CHX_vs_DMSO_CHX,dPSI_U1_mut2_500_CHX_vs_DMSO_CHX
ABHD4,NA,NA,NA,NA,0.37741016129913
AC008581.2,NA,NA,NA,NA,-0.31532928734887
AC009022.1,0.529689783092393,0.48341714717863,0.513280612165223,NA,NA
AC020915.3,NA,NA,-0.286095015675335,NA,NA
AC090825.1,NA,NA,NA,NA,0.342399113022576
AC215522.2,NA,NA,NA,NA,0.294373994817518
ACLY,NA,0.340270495569038,NA,NA,NA
ADAMTS19,-0.589795308823292,-0.490753266554147,-0.464925653156316,NA,NA
ADCY3,NA,NA,NA,NA,-0.301369059706868
AFF1,NA,NA,NA,NA,-0.378077658957325
AL355574.1,NA,NA,NA,NA,0.296319340642663
ALG13,NA,NA,NA,NA,-0.296695307387233
ANKRD20A2P,NA,NA,NA,NA,0.251868802247434
AP3B2,NA,NA,NA,NA,0.251530054481562
ASAP1,0.38151722176591,0.300417041371658,0.262763677997595,NA,NA
ATG2B,0.258839682445779,NA,NA,NA,NA
ATP6AP1L,NA,NA,NA,NA,0.427532116475033
AXIN1,NA,-0.269216075789049,NA,NA,NA
BARHL2,NA,NA,NA,NA,-0.364474345530629
C1GALT1,NA,NA,NA,NA,-0.263459900573764
CACNA2D1,0.259995688791626,0.309448566712965,0.419901521969156,NA,NA
CACNB4,-0.287798583560185,NA,-0.272388562869633,NA,NA
CALM1,NA,NA,NA,NA,-0.310576414022351
CCDC130,NA,NA,NA,NA,0.305997965878726
CHD9,NA,-0.264496395084843,NA,NA,NA
CHST12,NA,NA,0.268503336235656,NA,NA
CIP2A,-0.534202117163389,-0.456622797912196,-0.486837331905548,NA,NA
CLASP2,NA,NA,NA,0.495367551372871,NA
CRYBG3,-0.272476739706,NA,NA,NA,NA
CRYL1,NA,-0.255295351158408,NA,NA,NA
DENND4A,NA,NA,NA,NA,-0.285143393780554
DHFR,-0.338219685926374,-0.29904761837031,NA,NA,NA
DIAPH3,-0.365983013602999,NA,-0.409594265278599,NA,NA
DLG5,NA,NA,NA,NA,-0.358960524163615
DNAH14,NA,NA,NA,NA,0.264294378496837
DZIP3,NA,NA,NA,NA,-0.274802735892797
EFCAB14,NA,NA,NA,NA,0.276651420636919
ELMOD1,NA,NA,NA,NA,0.277727118508369
EMSY,NA,-0.262672260875701,-0.261784538111029,NA,NA
ENPP2,NA,NA,NA,NA,-0.352129118061868
ERGIC2,NA,NA,NA,NA,-0.250115914467253
EVC,-0.341150919945711,-0.253913337118234,NA,NA,NA
EXOC6B,0.267301763983138,NA,-0.254143498583273,NA,NA
FAAP20,-0.35062481113513,-0.295284433297592,-0.349506255023554,NA,NA
FAM122C,NA,NA,NA,NA,0.331405471697255
FAM200A,NA,NA,NA,NA,-0.285648997209629
FAM214A,NA,0.257303218592469,NA,NA,NA
FHOD3,0.463413800172999,0.433337320896267,0.43568742673259,NA,NA
FMNL2,NA,NA,NA,NA,-0.339271804925755
FNIP1,NA,NA,NA,-0.262741085605577,-0.301760142333998
FNIP2,NA,NA,NA,NA,-0.383206511071277
GALNT13,NA,NA,NA,NA,-0.318387579973989
GARNL3,0.427310884429636,NA,-0.302540842634566,NA,NA
GDAP2,NA,NA,NA,NA,-0.302393300450118
GDI2,NA,NA,NA,NA,-0.274263454545155
GK5,NA,NA,NA,NA,-0.358306323816343
GNPTAB,NA,NA,NA,NA,-0.250606597318593
GORASP2,NA,NA,NA,NA,-0.311098677474601
GRK3,NA,NA,NA,NA,-0.300876114203096
GUCY1A1,NA,NA,NA,NA,-0.310123231871788
GXYLT1,-0.267943785754838,NA,NA,NA,NA
HEATR5B,NA,NA,NA,NA,-0.303414397085266
HERC2P2,NA,NA,NA,NA,-0.321311545466497
HIKESHI,NA,NA,NA,NA,-0.297554631272911
HOOK1,NA,NA,NA,NA,0.278273517419647
HTT,0.386731613237575,0.379650327146296,NA,NA,NA
HUNK,NA,NA,NA,NA,0.296714518232
